Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-0.805600219506,51.8191427583,On or near Norfolk Terrace,E01017662,Aylesbury Vale 015C,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49436551493,51.4181694243,On or near Keynsham Road,E01014399,Bath and North East Somerset 001A,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.5119272035,51.4094350194,On or near Harlech Close,E01014399,Bath and North East Somerset 001A,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.5119272035,51.4094350194,On or near Harlech Close,E01014399,Bath and North East Somerset 001A,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.5119272035,51.4094350194,On or near Harlech Close,E01014399,Bath and North East Somerset 001A,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.51157120591,51.4148945235,On or near Orchard Close,E01014399,Bath and North East Somerset 001A,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.51330770718,51.4094559538,On or near Charlton Road,E01014399,Bath and North East Somerset 001A,Burglary,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.50912611822,51.4161370339,On or near St. Francis Road,E01014399,Bath and North East Somerset 001A,Burglary,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49436551493,51.4181694243,On or near Keynsham Road,E01014399,Bath and North East Somerset 001A,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49776735715,51.4202320945,On or near Chandos Road,E01014400,Bath and North East Somerset 001B,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.50180611022,51.4173914827,On or near St. Johns Court,E01014400,Bath and North East Somerset 001B,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49779930678,51.4152325925,On or near Back Lane,E01014400,Bath and North East Somerset 001B,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49779930678,51.4152325925,On or near Back Lane,E01014400,Bath and North East Somerset 001B,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.50180611022,51.4173914827,On or near St. Johns Court,E01014400,Bath and North East Somerset 001B,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49779930678,51.4152325925,On or near Back Lane,E01014400,Bath and North East Somerset 001B,Burglary,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.50171313851,51.4141548797,On or near West View Road,E01014400,Bath and North East Somerset 001B,Burglary,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Burglary,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Burglary,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.504289303,51.4182799872,On or near Trescothick Close,E01014400,Bath and North East Somerset 001B,Vehicle crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.50180611022,51.4173914827,On or near St. Johns Court,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49779930678,51.4152325925,On or near Back Lane,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49792967102,51.4179655055,On or near Station Road,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49792967102,51.4179655055,On or near Station Road,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.50171313851,51.4141548797,On or near West View Road,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49779930678,51.4152325925,On or near Back Lane,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49861294463,51.4160024161,On or near High Street,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.49990992547,51.4136230878,On or near Rock Road,E01014400,Bath and North East Somerset 001B,Other crime,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.50676204183,51.4091157926,On or near Queens Road,E01014401,Bath and North East Somerset 001C,Anti-social behaviour,,
,2010-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.50690296357,51.4153554068,On or near St. Annes Avenue,E01014401,Bath and North East Somerset 001C,Anti-social behaviour,,
