Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.644128326001,51.8811960127,On or near Mill Road,E01017652,Aylesbury Vale 009B,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.603103681996,51.871212143,On or near Eaton Bray Road,E01017658,Aylesbury Vale 009D,Vehicle crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.417742805435,52.2378024186,On or near Elm Tree Grove,E01017540,Bedford 001A,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.436626064203,52.2142993301,On or near Cross End,E01017540,Bedford 001A,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.417742805435,52.2378024186,On or near Elm Tree Grove,E01017540,Bedford 001A,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.425516324641,52.2540275159,On or near Mill Hill,E01017540,Bedford 001A,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.436626064203,52.2142993301,On or near Cross End,E01017540,Bedford 001A,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.47551616071,52.2536677461,On or near High Street,E01017541,Bedford 001B,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.481892722768,52.2518438007,On or near Wells Road,E01017541,Bedford 001B,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.47551616071,52.2536677461,On or near High Street,E01017541,Bedford 001B,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.48233639459,52.2512920571,On or near College Drive,E01017541,Bedford 001B,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.482289863175,52.2505092336,On or near Brooklands Road,E01017541,Bedford 001B,Vehicle crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.47551616071,52.2536677461,On or near High Street,E01017541,Bedford 001B,Violent crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.480870175649,52.2530444453,On or near Gold Street,E01017541,Bedford 001B,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.480870175649,52.2530444453,On or near Gold Street,E01017541,Bedford 001B,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.47551616071,52.2536677461,On or near High Street,E01017541,Bedford 001B,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.548073991185,52.2237520552,On or near Pinchmill Close,E01017544,Bedford 001C,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.547328889179,52.2268448051,On or near Towns End Road,E01017544,Bedford 001C,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.552861121297,52.226912761,On or near Coxs Close,E01017545,Bedford 001D,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.493358220502,52.2788020282,On or near Park Road,E01017545,Bedford 001D,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.537081362427,52.2299190645,On or near Park Lane,E01017545,Bedford 001D,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.556253871455,52.2220721632,On or near Dolcey Way,E01017545,Bedford 001D,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.55462166492,52.2227444986,On or near Wood End Close,E01017545,Bedford 001D,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.555079068602,52.222183662,On or near Fox Hedge Way,E01017545,Bedford 001D,Vehicle crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.537081362427,52.2299190645,On or near Park Lane,E01017545,Bedford 001D,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.557689984314,52.2450708297,On or near High Street,E01017545,Bedford 001D,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.556253871455,52.2220721632,On or near Dolcey Way,E01017545,Bedford 001D,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.556253871455,52.2220721632,On or near Dolcey Way,E01017545,Bedford 001D,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.556253871455,52.2220721632,On or near Dolcey Way,E01017545,Bedford 001D,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.557689984314,52.2450708297,On or near High Street,E01017545,Bedford 001D,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.556253871455,52.2220721632,On or near Dolcey Way,E01017545,Bedford 001D,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.550275661475,52.191653958,On or near The Bury,E01017464,Bedford 002A,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.549198209282,52.2099196211,On or near Church End,E01017464,Bedford 002A,Burglary,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.549954286243,52.2087241076,On or near The High Road,E01017464,Bedford 002A,Vehicle crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.550275661475,52.191653958,On or near The Bury,E01017464,Bedford 002A,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.554252962774,52.1876567564,On or near Mill Lane,E01017464,Bedford 002A,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.556368614621,52.1674975823,On or near Silver Street,E01017465,Bedford 002B,Violent crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.604467144563,52.1808167198,On or near School Lane,E01017465,Bedford 002B,Other crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.624112362578,52.2541712708,On or near Gold Street,E01017503,Bedford 002C,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.624112362578,52.2541712708,On or near Gold Street,E01017503,Bedford 002C,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.600987045443,52.2688335065,On or near Church Lane,E01017503,Bedford 002C,Anti-social behaviour,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.620018462652,52.2529636591,On or near Vicarage Lane,E01017503,Bedford 002C,Robbery,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.600987045443,52.2688335065,On or near Church Lane,E01017503,Bedford 002C,Violent crime,,
,2010-12,Bedfordshire Police,Bedfordshire Police,-0.600987045443,52.2688335065,On or near Church Lane,E01017503,Bedford 002C,Violent crime,,
