Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.02756513457,53.363488765,On or near Waterside,E01018586,Cheshire East 001B,Other crime,,
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.03337826803,53.3606019229,On or near Dryhurst Lane,E01018587,Cheshire East 001C,Other crime,,
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.03806517891,53.3593061489,On or near Market Street,E01018587,Cheshire East 001C,Other crime,,
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.03337826803,53.3606019229,On or near Dryhurst Lane,E01018587,Cheshire East 001C,Other crime,,
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.08589360068,53.345645454,On or near Shrigley Road North,E01018661,Cheshire East 001D,Burglary,,"<a href=""http://www.cheshire.police.uk/get-involved/watch-schemes.aspx"">Join a Watch scheme</a>"
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.09640578186,53.3446486514,On or near Coppice Road,E01018661,Cheshire East 001D,Other crime,,
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.10598460704,53.3429955859,On or near Sutton Road,E01018661,Cheshire East 001D,Other crime,,
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.12583684739,53.341708861,On or near Lawrence Place,E01018657,Cheshire East 002A,Burglary,,"<a href=""http://www.cheshire.police.uk/get-involved/watch-schemes.aspx"">Join a Watch scheme</a>"
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.12531973195,53.3446217286,On or near London Road South,E01018657,Cheshire East 002A,Burglary,,"<a href=""http://www.cheshire.police.uk/get-involved/watch-schemes.aspx"">Join a Watch scheme</a>"
,2010-12,Cheshire Constabulary,Cheshire Constabulary,-2.12531973195,53.3446217286,On or near London Road South,E01018657,Cheshire East 002A,Violent crime,,"<a href=""http://www.cheshire.police.uk/advice--information/personal-safety.aspx"">Find out personal safety tips</a>"
