Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37763754461,53.0986470684,On or near Mansfield Road,E01019400,Amber Valley 001A,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38191664678,53.1012312648,On or near Cedar Avenue,E01019400,Amber Valley 001A,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37491203787,53.1032801886,On or near Tavistock Square,E01019400,Amber Valley 001A,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37340654603,53.0968989615,On or near Milton Avenue,E01019400,Amber Valley 001A,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38191664678,53.1012312648,On or near Cedar Avenue,E01019400,Amber Valley 001A,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37536891227,53.0995790525,On or near Priory Road,E01019400,Amber Valley 001A,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37215433559,53.0998228336,On or near Wood Street,E01019400,Amber Valley 001A,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37536891227,53.0995790525,On or near Priory Road,E01019400,Amber Valley 001A,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37215433559,53.0998228336,On or near Wood Street,E01019400,Amber Valley 001A,Vehicle crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37671893559,53.0991726246,On or near Parkin Street,E01019400,Amber Valley 001A,Violent crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37356426237,53.0994077681,On or near Catherine Street,E01019400,Amber Valley 001A,Violent crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37215433559,53.0998228336,On or near Wood Street,E01019400,Amber Valley 001A,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.37340654603,53.0968989615,On or near Milton Avenue,E01019400,Amber Valley 001A,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39178820817,53.094935746,On or near Chatsworth Close,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38555025645,53.0967375112,On or near Cressy Road,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38397143635,53.0985361755,On or near Firs Gardens,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39219363426,53.0979581731,On or near Church Street,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38751082557,53.1017006362,On or near Bishop Street,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38992814893,53.0965802367,On or near New Street,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39178820817,53.094935746,On or near Chatsworth Close,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39219363426,53.0979581731,On or near Church Street,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38992814893,53.0965802367,On or near New Street,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38992814893,53.0965802367,On or near New Street,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38992814893,53.0965802367,On or near New Street,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39002938021,53.1010393764,On or near Hardy Street,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39111168753,53.0952558985,On or near King Street,E01019401,Amber Valley 001B,Anti-social behaviour,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38819011192,53.0990882841,On or near Limes Avenue,E01019401,Amber Valley 001B,Burglary,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38396570589,53.0999834002,On or near Firs Avenue,E01019401,Amber Valley 001B,Burglary,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38819011192,53.0990882841,On or near Limes Avenue,E01019401,Amber Valley 001B,Burglary,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38833030672,53.0955203083,On or near Hall Street,E01019401,Amber Valley 001B,Burglary,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38396570589,53.0999834002,On or near Firs Avenue,E01019401,Amber Valley 001B,Burglary,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38712140042,53.0975726103,On or near High Street,E01019401,Amber Valley 001B,Burglary,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38712140042,53.0975726103,On or near High Street,E01019401,Amber Valley 001B,Burglary,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38555025645,53.0967375112,On or near Cressy Road,E01019401,Amber Valley 001B,Burglary,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38992814893,53.0965802367,On or near New Street,E01019401,Amber Valley 001B,Violent crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38992814893,53.0965802367,On or near New Street,E01019401,Amber Valley 001B,Violent crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39111168753,53.0952558985,On or near King Street,E01019401,Amber Valley 001B,Violent crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38935120665,53.0983031979,On or near Bonsall Lane,E01019401,Amber Valley 001B,Violent crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38992814893,53.0965802367,On or near New Street,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38712140042,53.0975726103,On or near High Street,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38935120665,53.0983031979,On or near Bonsall Lane,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38555025645,53.0967375112,On or near Cressy Road,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38712140042,53.0975726103,On or near High Street,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38751082557,53.1017006362,On or near Bishop Street,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39111168753,53.0952558985,On or near King Street,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39219363426,53.0979581731,On or near Church Street,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39111168753,53.0952558985,On or near King Street,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.39111168753,53.0952558985,On or near King Street,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38992814893,53.0965802367,On or near New Street,E01019401,Amber Valley 001B,Other crime,,
,2010-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.38935227275,53.0992830213,On or near Rowland Court,E01019401,Amber Valley 001B,Other crime,,
