Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Dorset Police,Dorset Police,-1.89038155939,50.7664077,On or near Ashridge Avenue,E01015301,Bournemouth 001A,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.88616016299,50.7705492543,On or near New Road,E01015301,Bournemouth 001A,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.88718498645,50.7689675505,On or near Avebury Avenue,E01015301,Bournemouth 001A,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.88911965418,50.7663705397,On or near Pinewood Avenue,E01015301,Bournemouth 001A,Burglary,,
,2010-12,Dorset Police,Dorset Police,-1.89168395511,50.7673351518,On or near Wimborne Road,E01015301,Bournemouth 001A,Burglary,,
,2010-12,Dorset Police,Dorset Police,-1.88616016299,50.7705492543,On or near New Road,E01015301,Bournemouth 001A,Vehicle crime,,
,2010-12,Dorset Police,Dorset Police,-1.89168395511,50.7673351518,On or near Wimborne Road,E01015301,Bournemouth 001A,Violent crime,,
,2010-12,Dorset Police,Dorset Police,-1.89071141158,50.7648073253,On or near Dudley Road,E01015301,Bournemouth 001A,Other crime,,
,2010-12,Dorset Police,Dorset Police,-1.89168395511,50.7673351518,On or near Wimborne Road,E01015301,Bournemouth 001A,Other crime,,
,2010-12,Dorset Police,Dorset Police,-1.90340231732,50.7645577117,On or near Griffiths Gardens,E01015303,Bournemouth 001B,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.8997087316,50.7678458951,On or near Bramley Road,E01015303,Bournemouth 001B,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.90340231732,50.7645577117,On or near Griffiths Gardens,E01015303,Bournemouth 001B,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.90279562707,50.7699617619,On or near Home Road,E01015303,Bournemouth 001B,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.90279562707,50.7699617619,On or near Home Road,E01015303,Bournemouth 001B,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.8997087316,50.7678458951,On or near Bramley Road,E01015303,Bournemouth 001B,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.90279562707,50.7699617619,On or near Home Road,E01015303,Bournemouth 001B,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.8997087316,50.7678458951,On or near Bramley Road,E01015303,Bournemouth 001B,Burglary,,
,2010-12,Dorset Police,Dorset Police,-1.8997087316,50.7678458951,On or near Bramley Road,E01015303,Bournemouth 001B,Robbery,,
,2010-12,Dorset Police,Dorset Police,-1.8997087316,50.7678458951,On or near Bramley Road,E01015303,Bournemouth 001B,Violent crime,,
,2010-12,Dorset Police,Dorset Police,-1.90340231732,50.7645577117,On or near Griffiths Gardens,E01015303,Bournemouth 001B,Other crime,,
,2010-12,Dorset Police,Dorset Police,-1.8997087316,50.7678458951,On or near Bramley Road,E01015303,Bournemouth 001B,Other crime,,
,2010-12,Dorset Police,Dorset Police,-1.90279562707,50.7699617619,On or near Home Road,E01015303,Bournemouth 001B,Other crime,,
,2010-12,Dorset Police,Dorset Police,-1.89697793761,50.7715934343,On or near Park Avenue,E01015303,Bournemouth 001B,Other crime,,
,2010-12,Dorset Police,Dorset Police,-1.8997087316,50.7678458951,On or near Bramley Road,E01015303,Bournemouth 001B,Other crime,,
,2010-12,Dorset Police,Dorset Police,-1.8997087316,50.7678458951,On or near Bramley Road,E01015303,Bournemouth 001B,Other crime,,
,2010-12,Dorset Police,Dorset Police,-1.90340231732,50.7645577117,On or near Griffiths Gardens,E01015303,Bournemouth 001B,Other crime,,
,2010-12,Dorset Police,Dorset Police,-1.8959406648,50.7661070309,On or near Leybourne Close,E01015305,Bournemouth 001C,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.89851636453,50.7618467993,On or near Brook Road,E01015305,Bournemouth 001C,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.90153841049,50.7608601957,On or near Kinson Road,E01015305,Bournemouth 001C,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.90007943339,50.7602204829,On or near Chaldecott Gardens,E01015305,Bournemouth 001C,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.90007943339,50.7602204829,On or near Chaldecott Gardens,E01015305,Bournemouth 001C,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.89922603025,50.7614967013,On or near Cartwright Close,E01015305,Bournemouth 001C,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.90007943339,50.7602204829,On or near Chaldecott Gardens,E01015305,Bournemouth 001C,Anti-social behaviour,,
,2010-12,Dorset Police,Dorset Police,-1.8959406648,50.7661070309,On or near Leybourne Close,E01015305,Bournemouth 001C,Anti-social behaviour,,
