Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Durham Constabulary,Durham Constabulary,-1.71811893402,54.9019433693,On or near The Sycamores,E01020635,County Durham 001B,Burglary,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.72482102819,54.9070270068,On or near Hill Crest,E01020635,County Durham 001B,Violent crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.74292529829,54.9025914218,On or near Albion Gardens,E01020636,County Durham 001C,Other crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.74782044782,54.8828496856,On or near Wyndways Drive,E01020654,County Durham 001D,Other crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.74782044782,54.8828496856,On or near Wyndways Drive,E01020654,County Durham 001D,Other crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.72530342145,54.8865482223,On or near Unity Terrace,E01020676,County Durham 001E,Burglary,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.71292358968,54.8825386696,On or near North Leigh,E01020676,County Durham 001E,Vehicle crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.72530342145,54.8865482223,On or near Unity Terrace,E01020676,County Durham 001E,Violent crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.71292358968,54.8825386696,On or near North Leigh,E01020676,County Durham 001E,Other crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.5935343666,54.8866104827,On or near Ross,E01020613,County Durham 002A,Other crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.59670610397,54.8827568929,On or near Carnoustie,E01020613,County Durham 002A,Other crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.59887571499,54.8840221672,On or near Aberfoyle,E01020614,County Durham 002B,Vehicle crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.60131468361,54.8785394969,On or near Institute Terrace West,E01020614,County Durham 002B,Other crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.59878395044,54.8854147564,On or near Iris Crescent,E01020614,County Durham 002B,Other crime,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.60894404058,54.887361963,On or near Carlton Close,E01020623,County Durham 002D,Burglary,,
,2010-12,Durham Constabulary,Durham Constabulary,-1.60894404058,54.887361963,On or near Carlton Close,E01020623,County Durham 002D,Vehicle crime,,
