Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.26671159806,51.9991179929,On or near Maesderwenydd,W01000685,Carmarthenshire 001A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.26671159806,51.9991179929,On or near Maesderwenydd,W01000685,Carmarthenshire 001A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.26403701804,51.9975058681,On or near Maescader,W01000685,Carmarthenshire 001A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.26403701804,51.9975058681,On or near Maescader,W01000685,Carmarthenshire 001A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.26671159806,51.9991179929,On or near Maesderwenydd,W01000685,Carmarthenshire 001A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.26403701804,51.9975058681,On or near Maescader,W01000685,Carmarthenshire 001A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.26403701804,51.9975058681,On or near Maescader,W01000685,Carmarthenshire 001A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.26671159806,51.9991179929,On or near Maesderwenydd,W01000685,Carmarthenshire 001A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.26403701804,51.9975058681,On or near Maescader,W01000685,Carmarthenshire 001A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.23617841068,52.0000436413,On or near Bro-Nantlais,W01000686,Carmarthenshire 001B,Burglary,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.19613484038,52.0394282002,On or near Bryndulais,W01000686,Carmarthenshire 001B,Other crime,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.0592488226,52.100376169,On or near Cae Coedmore,W01000701,Carmarthenshire 001C,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.0592488226,52.100376169,On or near Cae Coedmore,W01000701,Carmarthenshire 001C,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.06451078292,52.1033413663,On or near Treherbert Street,W01000701,Carmarthenshire 001C,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.15630105484,52.0724910742,On or near Heol Y Gaer,W01000702,Carmarthenshire 001D,Violent crime,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.14895564868,52.0699456416,On or near Heol Y Dderi,W01000702,Carmarthenshire 001D,Violent crime,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-4.15139816503,52.0715825882,On or near Bro Einon,W01000702,Carmarthenshire 001D,Other crime,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-3.87616525959,51.9697520346,On or near Maes Yr Haf,W01000647,Carmarthenshire 002A,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-3.87713057328,51.9719486515,On or near Bryndulais,W01000647,Carmarthenshire 002A,Vehicle crime,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-3.93173816038,52.0429105743,On or near Rock Street,W01000650,Carmarthenshire 002B,Anti-social behaviour,,
,2010-12,Dyfed-Powys Police,Dyfed-Powys Police,-3.93173816038,52.0429105743,On or near Rock Street,W01000650,Carmarthenshire 002B,Anti-social behaviour,,
