Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08853889825,51.9159615878,On or near Medoc Close,E01022163,Cheltenham 001A,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08993648551,51.9168865801,On or near Linwell Close,E01022163,Cheltenham 001A,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08640007427,51.9151270351,On or near Windyridge Gardens,E01022163,Cheltenham 001A,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09010739966,51.9151152564,On or near Stanwick Crescent,E01022163,Cheltenham 001A,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08959214008,51.919188494,On or near Pendil Close,E01022163,Cheltenham 001A,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08993648551,51.9168865801,On or near Linwell Close,E01022163,Cheltenham 001A,Burglary,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.088172618,51.9145323221,On or near Thomond Close,E01022163,Cheltenham 001A,Burglary,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09632560464,51.9198754547,On or near The Runnings,E01022163,Cheltenham 001A,Burglary,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08959214008,51.919188494,On or near Pendil Close,E01022163,Cheltenham 001A,Burglary,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08640007427,51.9151270351,On or near Windyridge Gardens,E01022163,Cheltenham 001A,Burglary,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09010739966,51.9151152564,On or near Stanwick Crescent,E01022163,Cheltenham 001A,Vehicle crime,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09710861275,51.9188768285,On or near Runnings Road,E01022163,Cheltenham 001A,Other crime,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09710861275,51.9188768285,On or near Runnings Road,E01022163,Cheltenham 001A,Other crime,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08640007427,51.9151270351,On or near Windyridge Gardens,E01022163,Cheltenham 001A,Other crime,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09076209104,51.9153395226,On or near Stanwick Drive,E01022163,Cheltenham 001A,Other crime,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09019941362,51.9102601372,On or near Compton Road,E01022164,Cheltenham 001B,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08990773669,51.9097928376,On or near Waterloo Street,E01022164,Cheltenham 001B,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09175592315,51.9107714081,On or near Malvern Street,E01022164,Cheltenham 001B,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08990773669,51.9097928376,On or near Waterloo Street,E01022164,Cheltenham 001B,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09091172807,51.9102595875,On or near Elm Street,E01022164,Cheltenham 001B,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08730315222,51.9085181054,On or near Queen Street,E01022164,Cheltenham 001B,Anti-social behaviour,,
,2010-12,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09175592315,51.9107714081,On or near Malvern Street,E01022164,Cheltenham 001B,Burglary,,
