Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.39234629836,53.6346396669,On or near Birches Road,E01032485,Blackburn with Darwen 018E,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44480721349,53.6115089975,On or near Belmont Road,E01004768,Bolton 001A,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44480721349,53.6115089975,On or near Belmont Road,E01004768,Bolton 001A,Burglary,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44049349313,53.6123878393,On or near Threlkeld Road,E01004768,Bolton 001A,Vehicle crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44058357804,53.613780696,On or near Wincanton Drive,E01004768,Bolton 001A,Vehicle crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44480721349,53.6115089975,On or near Belmont Road,E01004768,Bolton 001A,Vehicle crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44480721349,53.6115089975,On or near Belmont Road,E01004768,Bolton 001A,Violent crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44480721349,53.6115089975,On or near Belmont Road,E01004768,Bolton 001A,Other crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44295682486,53.6325484869,On or near Albert Street,E01004803,Bolton 001B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44060688108,53.6305258117,On or near Bedford Street,E01004803,Bolton 001B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44060688108,53.6305258117,On or near Bedford Street,E01004803,Bolton 001B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44591686786,53.6307398338,On or near Delph Avenue,E01004803,Bolton 001B,Burglary,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44089074198,53.6287450849,On or near Egerton Vale,E01004803,Bolton 001B,Burglary,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44258831997,53.6262400717,On or near Deakins Mill Way,E01004803,Bolton 001B,Other crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44258831997,53.6262400717,On or near Deakins Mill Way,E01004803,Bolton 001B,Other crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.43548119702,53.6247111791,On or near Oak Gates,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.4349732513,53.6253062544,On or near Higher Dunscar,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.43752403233,53.6277956978,On or near Hazel Mount,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44005922671,53.6258539165,On or near The Hall Coppice,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.43674446862,53.6284457031,On or near Briggs Fold Road,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.43548119702,53.6247111791,On or near Oak Gates,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.43246349817,53.6267984214,On or near Great Stones Close,E01004804,Bolton 001C,Vehicle crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.43666893327,53.6255247843,On or near Stanrose Close,E01004804,Bolton 001C,Violent crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.44005922671,53.6258539165,On or near The Hall Coppice,E01004804,Bolton 001C,Other crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.42392335807,53.6180384382,On or near Carlisle Street,E01004807,Bolton 001D,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.42807759612,53.6222211789,On or near Upper Mead,E01004807,Bolton 001D,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.42892928698,53.6197373582,On or near King Street,E01004807,Bolton 001D,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.42548098528,53.6210979175,On or near Conningsby Close,E01004807,Bolton 001D,Vehicle crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.43001139119,53.6205963499,On or near Arnold Road,E01004807,Bolton 001D,Vehicle crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.42807759612,53.6222211789,On or near Upper Mead,E01004807,Bolton 001D,Other crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.43001139119,53.6205963499,On or near Arnold Road,E01004807,Bolton 001D,Other crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.42946005635,53.6169221156,On or near Higher Ridings,E01004808,Bolton 001E,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.43708181523,53.6215864029,On or near Shorefield Mount,E01004808,Bolton 001E,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.40676754171,53.6025572273,On or near Bradshaw Brow,E01004790,Bolton 002B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.39829800434,53.6034216471,On or near Thorn Lea,E01004790,Bolton 002B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.3949484406,53.6039900307,On or near Lynwood Grove,E01004790,Bolton 002B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.40676754171,53.6025572273,On or near Bradshaw Brow,E01004790,Bolton 002B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.40588712415,53.602146756,On or near Timberbottom,E01004790,Bolton 002B,Burglary,,
