Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Gwent Police,Gwent Police,-3.19398399755,51.7981915324,On or near Pantyglan,W01001440,Blaenau Gwent 001A,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.19834834119,51.7954316986,On or near Canterbury Road,W01001440,Blaenau Gwent 001A,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.19320536731,51.7989097639,On or near Lansbury Terrace,W01001440,Blaenau Gwent 001A,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.19718760656,51.7948590807,On or near Heol Gwyn Lliw,W01001440,Blaenau Gwent 001A,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.19718760656,51.7948590807,On or near Heol Gwyn Lliw,W01001440,Blaenau Gwent 001A,Vehicle crime,,
,2010-12,Gwent Police,Gwent Police,-3.19320536731,51.7989097639,On or near Lansbury Terrace,W01001440,Blaenau Gwent 001A,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.19379052651,51.7985531558,On or near South Bank,W01001440,Blaenau Gwent 001A,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.21178830358,51.8039976611,On or near Heathfield Close,W01001441,Blaenau Gwent 001B,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21178830358,51.8039976611,On or near Heathfield Close,W01001441,Blaenau Gwent 001B,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21246908677,51.803424179,On or near Carno Close,W01001441,Blaenau Gwent 001B,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21270682174,51.804716498,On or near Gantre Close,W01001441,Blaenau Gwent 001B,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.210932257,51.8050674752,On or near Beechfield Close,W01001441,Blaenau Gwent 001B,Burglary,,
,2010-12,Gwent Police,Gwent Police,-3.210932257,51.8050674752,On or near Beechfield Close,W01001441,Blaenau Gwent 001B,Burglary,,
,2010-12,Gwent Police,Gwent Police,-3.2110232616,51.8003460169,On or near Bryn Coch,W01001441,Blaenau Gwent 001B,Burglary,,
,2010-12,Gwent Police,Gwent Police,-3.21270682174,51.804716498,On or near Gantre Close,W01001441,Blaenau Gwent 001B,Vehicle crime,,
,2010-12,Gwent Police,Gwent Police,-3.21064996335,51.8026516783,On or near Prince Philip Avenue,W01001441,Blaenau Gwent 001B,Vehicle crime,,
,2010-12,Gwent Police,Gwent Police,-3.21270682174,51.804716498,On or near Gantre Close,W01001441,Blaenau Gwent 001B,Vehicle crime,,
,2010-12,Gwent Police,Gwent Police,-3.21064996335,51.8026516783,On or near Prince Philip Avenue,W01001441,Blaenau Gwent 001B,Violent crime,,
,2010-12,Gwent Police,Gwent Police,-3.21178830358,51.8039976611,On or near Heathfield Close,W01001441,Blaenau Gwent 001B,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.2126739851,51.8040334853,On or near Carmel Close,W01001441,Blaenau Gwent 001B,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.21024409152,51.7967035031,On or near Beaufort Rise,W01001442,Blaenau Gwent 001C,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.20867030732,51.797501954,On or near Baptist Place,W01001442,Blaenau Gwent 001C,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.20867030732,51.797501954,On or near Baptist Place,W01001442,Blaenau Gwent 001C,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21447365759,51.7976039859,On or near Greenfield Crescent,W01001442,Blaenau Gwent 001C,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21447365759,51.7976039859,On or near Greenfield Crescent,W01001442,Blaenau Gwent 001C,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21024409152,51.7967035031,On or near Beaufort Rise,W01001442,Blaenau Gwent 001C,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21447365759,51.7976039859,On or near Greenfield Crescent,W01001442,Blaenau Gwent 001C,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.20073144585,51.7983475899,On or near Highlands Road,W01001442,Blaenau Gwent 001C,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.19945104582,51.7976413445,On or near North Street,W01001442,Blaenau Gwent 001C,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.20573695851,51.7951763128,On or near Yard Row,W01001442,Blaenau Gwent 001C,Vehicle crime,,
,2010-12,Gwent Police,Gwent Police,-3.20643236562,51.7962391631,On or near Hawthorn Road,W01001442,Blaenau Gwent 001C,Vehicle crime,,
,2010-12,Gwent Police,Gwent Police,-3.21024409152,51.7967035031,On or near Beaufort Rise,W01001442,Blaenau Gwent 001C,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.22798959931,51.7997563966,On or near Stonebridge Road,W01001470,Blaenau Gwent 001D,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21633044345,51.8013971739,On or near Alder Grove,W01001470,Blaenau Gwent 001D,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.22798959931,51.7997563966,On or near Stonebridge Road,W01001470,Blaenau Gwent 001D,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21922412488,51.8011424102,On or near Clydach Avenue,W01001470,Blaenau Gwent 001D,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.21629720799,51.8044726012,On or near Chestnut Close,W01001470,Blaenau Gwent 001D,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.22995658655,51.7963640235,On or near Barnes Close,W01001470,Blaenau Gwent 001D,Burglary,,
,2010-12,Gwent Police,Gwent Police,-3.23140506632,51.796303901,On or near Maes-Y-Garreg,W01001470,Blaenau Gwent 001D,Burglary,,
,2010-12,Gwent Police,Gwent Police,-3.22572835515,51.798727993,On or near Coed Cae,W01001470,Blaenau Gwent 001D,Vehicle crime,,
,2010-12,Gwent Police,Gwent Police,-3.22845190983,51.7991581281,On or near Ivy Close,W01001470,Blaenau Gwent 001D,Vehicle crime,,
,2010-12,Gwent Police,Gwent Police,-3.22515574308,51.7968637332,On or near Waun Fawr,W01001470,Blaenau Gwent 001D,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.22515574308,51.7968637332,On or near Waun Fawr,W01001470,Blaenau Gwent 001D,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.22162489964,51.7998227125,On or near Rhondda Close,W01001471,Blaenau Gwent 001E,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.22306090751,51.800904741,On or near Summerfield Road,W01001471,Blaenau Gwent 001E,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.22355299015,51.8014031431,On or near Glyndwr Road,W01001471,Blaenau Gwent 001E,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.22355299015,51.8014031431,On or near Glyndwr Road,W01001471,Blaenau Gwent 001E,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.22205454688,51.7969409721,On or near Maesglas,W01001471,Blaenau Gwent 001E,Vehicle crime,,
,2010-12,Gwent Police,Gwent Police,-3.2198657601,51.7975121872,On or near School Road,W01001471,Blaenau Gwent 001E,Violent crime,,
,2010-12,Gwent Police,Gwent Police,-3.22171066027,51.7965579128,On or near Heol Waen,W01001471,Blaenau Gwent 001E,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.22171066027,51.7965579128,On or near Heol Waen,W01001471,Blaenau Gwent 001E,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.22171066027,51.7965579128,On or near Heol Waen,W01001471,Blaenau Gwent 001E,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.22005952761,51.8014664273,On or near Howy Road,W01001471,Blaenau Gwent 001E,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.22171066027,51.7965579128,On or near Heol Waen,W01001471,Blaenau Gwent 001E,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.22171066027,51.7965579128,On or near Heol Waen,W01001471,Blaenau Gwent 001E,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.22171066027,51.7965579128,On or near Heol Waen,W01001471,Blaenau Gwent 001E,Other crime,,
,2010-12,Gwent Police,Gwent Police,-3.16857853433,51.8010543535,On or near Alma Terrace,W01001446,Blaenau Gwent 002A,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.16999998664,51.8021821272,On or near King Edward Road,W01001446,Blaenau Gwent 002A,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.16888695204,51.8028855403,On or near Rhyd Clydach,W01001446,Blaenau Gwent 002A,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.16888695204,51.8028855403,On or near Rhyd Clydach,W01001446,Blaenau Gwent 002A,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.16691589135,51.7995692997,On or near Hafod View Close,W01001446,Blaenau Gwent 002A,Anti-social behaviour,,
,2010-12,Gwent Police,Gwent Police,-3.1675122831,51.7990778402,On or near Shoemaker Close,W01001446,Blaenau Gwent 002A,Burglary,,
,2010-12,Gwent Police,Gwent Police,-3.16691589135,51.7995692997,On or near Hafod View Close,W01001446,Blaenau Gwent 002A,Violent crime,,
,2010-12,Gwent Police,Gwent Police,-3.17636469264,51.8032155637,On or near Pleasant View,W01001446,Blaenau Gwent 002A,Other crime,,
