Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Humberside Police,Humberside Police,-0.18331339562,54.1312785022,On or near Ringley Meadows,E01012933,East Riding of Yorkshire 001A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.176066318593,54.1300542848,On or near Clarke Crescent,E01012933,East Riding of Yorkshire 001A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.176066318593,54.1300542848,On or near Clarke Crescent,E01012933,East Riding of Yorkshire 001A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.176066318593,54.1300542848,On or near Clarke Crescent,E01012933,East Riding of Yorkshire 001A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.176066318593,54.1300542848,On or near Clarke Crescent,E01012933,East Riding of Yorkshire 001A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.177093769029,54.1303574936,On or near Vicarage Lane,E01012933,East Riding of Yorkshire 001A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.176066318593,54.1300542848,On or near Clarke Crescent,E01012933,East Riding of Yorkshire 001A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.174577515804,54.1315418473,On or near Byedales,E01012933,East Riding of Yorkshire 001A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.210486570853,54.0981211974,On or near Ellerburn Drive,E01012934,East Riding of Yorkshire 001B,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.209957437675,54.0972683729,On or near Scarborough Crescent,E01012934,East Riding of Yorkshire 001B,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.212340780715,54.0959015429,On or near Parkfield Drive,E01012934,East Riding of Yorkshire 001B,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.212344812903,54.0954521594,On or near Nursery Grove,E01012934,East Riding of Yorkshire 001B,Vehicle crime,,
,2010-12,Humberside Police,Humberside Police,-0.21134780968,54.0965879177,On or near New Pasture Close,E01012934,East Riding of Yorkshire 001B,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.194835330525,54.1056538042,On or near Ullswater Avenue,E01012938,East Riding of Yorkshire 001C,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.189307126378,54.1047437683,On or near Bransdale Road,E01012938,East Riding of Yorkshire 001C,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.195952557858,54.106344725,On or near Derwent Gardens,E01012938,East Riding of Yorkshire 001C,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.193245178127,54.1007130172,On or near Bempton Oval,E01012938,East Riding of Yorkshire 001C,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.188259909037,54.1066606177,On or near Langdale Mews,E01012938,East Riding of Yorkshire 001C,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.187315259558,54.1055227797,On or near Thixendale Road,E01012938,East Riding of Yorkshire 001C,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.189307126378,54.1047437683,On or near Bransdale Road,E01012938,East Riding of Yorkshire 001C,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.188194039576,54.1060663591,On or near Givendale Close,E01012938,East Riding of Yorkshire 001C,Burglary,,
,2010-12,Humberside Police,Humberside Police,-0.193310657562,54.1058916,On or near Grasmere Grove,E01012938,East Riding of Yorkshire 001C,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.173408146582,54.1073259961,On or near Kestrel Drive,E01012939,East Riding of Yorkshire 001D,Burglary,,
,2010-12,Humberside Police,Humberside Police,-0.175852949575,54.1143564498,On or near Jewison Lane,E01012939,East Riding of Yorkshire 001D,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.192953104847,54.1000434532,On or near Bempton Close,E01012940,East Riding of Yorkshire 001E,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.186253502157,54.1018123434,On or near Greenways Close,E01012940,East Riding of Yorkshire 001E,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.187706706607,54.1004050043,On or near Headlands Close,E01012940,East Riding of Yorkshire 001E,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.186253502157,54.1018123434,On or near Greenways Close,E01012940,East Riding of Yorkshire 001E,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.186253502157,54.1018123434,On or near Greenways Close,E01012940,East Riding of Yorkshire 001E,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.188628953554,54.1024054378,On or near Woburn Close,E01012940,East Riding of Yorkshire 001E,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.187706706607,54.1004050043,On or near Headlands Close,E01012940,East Riding of Yorkshire 001E,Burglary,,
,2010-12,Humberside Police,Humberside Police,-0.187706706607,54.1004050043,On or near Headlands Close,E01012940,East Riding of Yorkshire 001E,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.192953104847,54.1000434532,On or near Bempton Close,E01012940,East Riding of Yorkshire 001E,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.196676762359,54.099173462,On or near Redwood Close,E01012941,East Riding of Yorkshire 001F,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.199554325027,54.0987671099,On or near Danescroft,E01012941,East Riding of Yorkshire 001F,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.198543474714,54.1023295558,On or near Thoresby Avenue,E01012941,East Riding of Yorkshire 001F,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.199083488062,54.1008095293,On or near Sandringham Close,E01012941,East Riding of Yorkshire 001F,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.20352792478,54.1002467452,On or near Pinfold Way North,E01012941,East Riding of Yorkshire 001F,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.199226911784,54.0904384973,On or near Dale Road,E01012929,East Riding of Yorkshire 002A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.194389944263,54.0923165945,On or near St. Alban Road,E01012929,East Riding of Yorkshire 002A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.206440745929,54.0915799755,On or near Neptune Drive,E01012929,East Riding of Yorkshire 002A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.197012687521,54.0931918939,On or near Butts Close,E01012929,East Riding of Yorkshire 002A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.200329733843,54.0900415095,On or near Postill Square,E01012929,East Riding of Yorkshire 002A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.196580628261,54.0953966868,On or near Great Meadow Road,E01012929,East Riding of Yorkshire 002A,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.197024174647,54.0968056013,On or near Sewerby Crescent,E01012929,East Riding of Yorkshire 002A,Violent crime,,
,2010-12,Humberside Police,Humberside Police,-0.196580628261,54.0953966868,On or near Great Meadow Road,E01012929,East Riding of Yorkshire 002A,Violent crime,,
,2010-12,Humberside Police,Humberside Police,-0.196580628261,54.0953966868,On or near Great Meadow Road,E01012929,East Riding of Yorkshire 002A,Violent crime,,
,2010-12,Humberside Police,Humberside Police,-0.206440745929,54.0915799755,On or near Neptune Drive,E01012929,East Riding of Yorkshire 002A,Violent crime,,
,2010-12,Humberside Police,Humberside Police,-0.200329733843,54.0900415095,On or near Postill Square,E01012929,East Riding of Yorkshire 002A,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.206440745929,54.0915799755,On or near Neptune Drive,E01012929,East Riding of Yorkshire 002A,Other crime,,
,2010-12,Humberside Police,Humberside Police,-0.18920641991,54.0923106028,On or near St. Oswald Road,E01012930,East Riding of Yorkshire 002B,Anti-social behaviour,,
,2010-12,Humberside Police,Humberside Police,-0.192410780055,54.0921160869,On or near St. Cuthbert Road,E01012930,East Riding of Yorkshire 002B,Burglary,,
,2010-12,Humberside Police,Humberside Police,-0.192142623322,54.0968761759,On or near Eastfield Road,E01012930,East Riding of Yorkshire 002B,Burglary,,
,2010-12,Humberside Police,Humberside Police,-0.193754880593,54.0928553852,On or near St. Anthony Road,E01012930,East Riding of Yorkshire 002B,Vehicle crime,,
,2010-12,Humberside Police,Humberside Police,-0.192410780055,54.0921160869,On or near St. Cuthbert Road,E01012930,East Riding of Yorkshire 002B,Violent crime,,
,2010-12,Humberside Police,Humberside Police,-0.18920641991,54.0923106028,On or near St. Oswald Road,E01012930,East Riding of Yorkshire 002B,Violent crime,,
,2010-12,Humberside Police,Humberside Police,-0.195225132115,54.0970303187,On or near Marton Avenue,E01012930,East Riding of Yorkshire 002B,Other crime,,
