Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.21417585665,52.6216629009,On or near Lowland Avenue,E01025631,Blaby 002A,Vehicle crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20858883802,52.6218414811,On or near Chapel Green,E01025631,Blaby 002A,Other crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20858883802,52.6218414811,On or near Chapel Green,E01025631,Blaby 002A,Other crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20858883802,52.6218414811,On or near Chapel Green,E01025631,Blaby 002A,Other crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22335425265,52.6197096558,On or near Kingcup Close,E01025632,Blaby 002B,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22274147656,52.6176109771,On or near Forest House Lane,E01025632,Blaby 002B,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22523851111,52.6167283322,On or near Copse Close,E01025632,Blaby 002B,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.21736310176,52.619373572,On or near Pendragon Way,E01025632,Blaby 002B,Vehicle crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.2235380241,52.6185062052,On or near Carnation Close,E01025632,Blaby 002B,Vehicle crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22371892401,52.6174645546,On or near Harvester Close,E01025632,Blaby 002B,Violent crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22371892401,52.6174645546,On or near Harvester Close,E01025632,Blaby 002B,Violent crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20933160606,52.626530209,On or near Packer Avenue,E01025633,Blaby 002C,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20187794257,52.6245204352,On or near Park Drive,E01025633,Blaby 002C,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20187794257,52.6245204352,On or near Park Drive,E01025633,Blaby 002C,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20734747164,52.6275957502,On or near Brightwell Drive,E01025633,Blaby 002C,Burglary,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20187794257,52.6245204352,On or near Park Drive,E01025633,Blaby 002C,Burglary,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20562684565,52.625525529,On or near Walsingham Crescent,E01025633,Blaby 002C,Vehicle crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.20562684565,52.625525529,On or near Walsingham Crescent,E01025633,Blaby 002C,Other crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.21105114556,52.6245638776,On or near Grange Avenue,E01025635,Blaby 002D,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.21660589156,52.6229016239,On or near Acres Road,E01025635,Blaby 002D,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.21105114556,52.6245638776,On or near Grange Avenue,E01025635,Blaby 002D,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.21660589156,52.6229016239,On or near Acres Road,E01025635,Blaby 002D,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22863157512,52.6178022924,On or near Beggars Lane,E01025634,Blaby 003A,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22264575608,52.6205141069,On or near Juniper Close,E01025634,Blaby 003A,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22525176917,52.6209986501,On or near Blue Pots Close,E01025634,Blaby 003A,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22609448325,52.6217952725,On or near Brickman Close,E01025634,Blaby 003A,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22773828928,52.619882145,On or near Kestrel Close,E01025634,Blaby 003A,Vehicle crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22773828928,52.619882145,On or near Kestrel Close,E01025634,Blaby 003A,Vehicle crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22863157512,52.6178022924,On or near Beggars Lane,E01025634,Blaby 003A,Vehicle crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22069262678,52.6206990584,On or near Somerfield Way,E01025634,Blaby 003A,Violent crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22069262678,52.6206990584,On or near Somerfield Way,E01025634,Blaby 003A,Violent crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22513664889,52.6224992202,On or near Hinckley Road,E01025634,Blaby 003A,Violent crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22283642812,52.6222594093,On or near Seymour Way,E01025634,Blaby 003A,Other crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22308251162,52.6250479087,On or near Forest Rise,E01025638,Blaby 003B,Anti-social behaviour,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22331910235,52.6275396758,On or near Linden Lane,E01025638,Blaby 003B,Burglary,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.21229627532,52.6317371533,On or near Ratby Lane,E01025638,Blaby 003B,Burglary,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22331910235,52.6275396758,On or near Linden Lane,E01025638,Blaby 003B,Vehicle crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.22572981147,52.6391165105,On or near Bluebell Close,E01025639,Blaby 003C,Vehicle crime,,
,2010-12,Leicestershire Constabulary,Leicestershire Constabulary,-1.23562762747,52.631674161,On or near Princess Drive,E01025640,Blaby 003D,Anti-social behaviour,,
