Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0689784518513,52.9819103314,On or near Upsall Road,E01026007,Boston 001A,Violent crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0689784518513,52.9819103314,On or near Upsall Road,E01026007,Boston 001A,Violent crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.068653513874,52.9857101034,On or near Benington Road,E01026007,Boston 001A,Other crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0474837716725,52.9746943245,On or near Bull Pasture,E01026008,Boston 001B,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0474837716725,52.9746943245,On or near Bull Pasture,E01026008,Boston 001B,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0614801258971,52.944872595,On or near Linton Close,E01026008,Boston 001B,Burglary,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0365946120993,52.9876482775,On or near Oak House Lane,E01026008,Boston 001B,Other crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0491148633386,52.9742256665,On or near Church View,E01026008,Boston 001B,Other crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0389162860724,52.9850640961,On or near Haltoft End Estate,E01026008,Boston 001B,Other crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0621333851217,52.9823799244,On or near School Lane,E01026008,Boston 001B,Other crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0759727495948,52.9976031964,On or near Bede Crescent,E01026009,Boston 001C,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0725460915249,53.0010435201,On or near West End Road,E01026009,Boston 001C,Burglary,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0847499580179,53.0071866314,On or near Meadow Bank,E01026009,Boston 001C,Other crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0821109182538,53.0077903063,On or near Laceys Drive,E01026009,Boston 001C,Other crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.123739934695,53.0599289777,On or near Wrangle Bank,E01026023,Boston 001D,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.123739934695,53.0599289777,On or near Wrangle Bank,E01026023,Boston 001D,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.123739934695,53.0599289777,On or near Wrangle Bank,E01026023,Boston 001D,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.124370341921,53.0384656745,On or near Mel Marshall Way,E01026023,Boston 001D,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.123739934695,53.0599289777,On or near Wrangle Bank,E01026023,Boston 001D,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.127670341461,53.0339921878,On or near Church Lane,E01026023,Boston 001D,Other crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.086921531789,53.0503311829,On or near Caleb Hill Road,E01026024,Boston 001E,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.100541200976,53.0297183455,On or near Meadow Way,E01026024,Boston 001E,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.086921531789,53.0503311829,On or near Caleb Hill Road,E01026024,Boston 001E,Anti-social behaviour,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0958124718562,53.0296938898,On or near School Lane,E01026024,Boston 001E,Burglary,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0701221941095,53.0519104204,On or near Sandygate Crescent,E01026024,Boston 001E,Violent crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.0949810517321,53.0340780564,On or near Bert Allen Drive,E01026024,Boston 001E,Violent crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.100541200976,53.0297183455,On or near Meadow Way,E01026024,Boston 001E,Violent crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.086921531789,53.0503311829,On or near Caleb Hill Road,E01026024,Boston 001E,Violent crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.086921531789,53.0503311829,On or near Caleb Hill Road,E01026024,Boston 001E,Other crime,,
,2010-12,Lincolnshire Police,Lincolnshire Police,0.134742711491,53.0261962546,On or near Sea Lane,E01026024,Boston 001E,Other crime,,
