Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Merseyside Police,Merseyside Police,-2.71566499553,53.388473181,On or near Rivenmill Close,E01012392,Halton 001A,Robbery,,
,2010-12,Merseyside Police,Merseyside Police,-2.73588811413,53.3962962866,On or near Wilmere Lane,E01012393,Halton 001B,Other crime,,
,2010-12,Merseyside Police,Merseyside Police,-2.73588811413,53.3962962866,On or near Wilmere Lane,E01012393,Halton 001B,Other crime,,
,2010-12,Merseyside Police,Merseyside Police,-2.78095110821,53.3670929072,On or near Clincton Close,E01012389,Halton 008A,Robbery,,
,2010-12,Merseyside Police,Merseyside Police,-2.87387485014,53.485289762,On or near Harleston Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.86965357947,53.4866868488,On or near Birbeck Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.86965357947,53.4866868488,On or near Birbeck Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.87208245107,53.4875410519,On or near Quernmore Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.85514832241,53.4855870586,On or near Ashcroft Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.8735570194,53.4859572524,On or near Sanderling Road,E01006448,Knowsley 001A,Vehicle crime,,
,2010-12,Merseyside Police,Merseyside Police,-2.87059864379,53.4857361498,On or near Darmond Road,E01006448,Knowsley 001A,Violent crime,,
,2010-12,Merseyside Police,Merseyside Police,-2.86955951742,53.4887189854,On or near Changford Road,E01006448,Knowsley 001A,Other crime,,
,2010-12,Merseyside Police,Merseyside Police,-2.87240180269,53.4847432255,On or near Quarryside Drive,E01006448,Knowsley 001A,Other crime,,
,2010-12,Merseyside Police,Merseyside Police,-2.87166098256,53.4860969421,On or near Clorain Road,E01006448,Knowsley 001A,Other crime,,
,2010-12,Merseyside Police,Merseyside Police,-2.86955951742,53.4887189854,On or near Changford Road,E01006448,Knowsley 001A,Other crime,,
,2010-12,Merseyside Police,Merseyside Police,-2.87385557303,53.4982786071,On or near Epsom Grove,E01006492,Knowsley 001B,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.87568673554,53.4971595901,On or near Winmoss Drive,E01006492,Knowsley 001B,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.87633621596,53.4986829103,On or near Greenham Avenue,E01006492,Knowsley 001B,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.87385557303,53.4982786071,On or near Epsom Grove,E01006492,Knowsley 001B,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.87545214334,53.5004062345,On or near Calder Close,E01006492,Knowsley 001B,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.87385557303,53.4982786071,On or near Epsom Grove,E01006492,Knowsley 001B,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.8732383996,53.4953887527,On or near Dorchester Drive,E01006492,Knowsley 001B,Anti-social behaviour,,
,2010-12,Merseyside Police,Merseyside Police,-2.87568673554,53.4971595901,On or near Winmoss Drive,E01006492,Knowsley 001B,Burglary,,
