Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Norfolk Constabulary,Norfolk Constabulary,1.07087979566,52.7241130168,On or near Lyng Road,E01026436,Breckland 001A,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,1.06372227989,52.7179402416,On or near The Street,E01026436,Breckland 001A,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,1.06100242973,52.7351332057,On or near Well Close,E01026436,Breckland 001A,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,1.06100242973,52.7351332057,On or near Well Close,E01026436,Breckland 001A,Burglary,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,1.03162928158,52.7450340704,On or near Hall Road,E01026436,Breckland 001A,Violent crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,1.08474233576,52.7150746316,On or near Easthaugh Road,E01026436,Breckland 001A,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.985938866987,52.6994672073,On or near Norwich Road,E01026461,Breckland 001C,Violent crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.980444019074,52.7039850906,On or near Cullum Close,E01026461,Breckland 001C,Violent crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.988155618413,52.7147891009,On or near Town Street,E01026461,Breckland 001C,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.94036965767,52.7488979521,On or near Spencers Close,E01026483,Breckland 001E,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.988999784002,52.7704063853,On or near Cubitts Close,E01033042,Breckland 001F,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.978442255308,52.7282710989,On or near East Crescent,E01033042,Breckland 001F,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.988999784002,52.7704063853,On or near Cubitts Close,E01033042,Breckland 001F,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.98469431186,52.7430238869,On or near The Street,E01033042,Breckland 001F,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.976239052581,52.7255027115,On or near Edwards Close,E01033042,Breckland 001F,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.988999784002,52.7704063853,On or near Cubitts Close,E01033042,Breckland 001F,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.954951464589,52.7431936311,On or near Station Road,E01033042,Breckland 001F,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.988999784002,52.7704063853,On or near Cubitts Close,E01033042,Breckland 001F,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.988999784002,52.7704063853,On or near Cubitts Close,E01033042,Breckland 001F,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.851877698249,52.8034772735,On or near Hall Lane,E01026442,Breckland 002A,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.845279461595,52.7742394033,On or near North View Drive,E01026442,Breckland 002A,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.744003106514,52.7669057833,On or near Lamberts Close,E01026442,Breckland 002A,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.866632213254,52.749202418,On or near Church Lane,E01026442,Breckland 002A,Burglary,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.803447484969,52.753905895,On or near High Street,E01026442,Breckland 002A,Vehicle crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.744003106514,52.7669057833,On or near Lamberts Close,E01026442,Breckland 002A,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.736340521746,52.7636298457,On or near Massingham Road,E01026442,Breckland 002A,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.851877698249,52.8034772735,On or near Hall Lane,E01026442,Breckland 002A,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.764794536131,52.6963363097,On or near Castle Acre Road,E01026443,Breckland 002B,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.79076057019,52.7304922847,On or near Tittleshall Road,E01026443,Breckland 002B,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.770087860194,52.6960148367,On or near South Street,E01026443,Breckland 002B,Violent crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.793281336358,52.7228882577,On or near Church Street,E01026443,Breckland 002B,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.790534543497,52.7237083313,On or near Front Street,E01026443,Breckland 002B,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.584236665938,52.6823107997,On or near Meadow Close,E01026445,Breckland 002C,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.584109796208,52.6834195911,On or near Dennys Walk,E01026445,Breckland 002C,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.584236665938,52.6823107997,On or near Meadow Close,E01026445,Breckland 002C,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.733780823348,52.6652320024,On or near Hills Close,E01026445,Breckland 002C,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.584236665938,52.6823107997,On or near Meadow Close,E01026445,Breckland 002C,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.584236665938,52.6823107997,On or near Meadow Close,E01026445,Breckland 002C,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.584236665938,52.6823107997,On or near Meadow Close,E01026445,Breckland 002C,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.584236665938,52.6823107997,On or near Meadow Close,E01026445,Breckland 002C,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.733996726324,52.6672682884,On or near Priory Place,E01026445,Breckland 002C,Vehicle crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.73155394658,52.6634399415,On or near Sydney Dye Court,E01026445,Breckland 002C,Vehicle crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.715396400445,52.6754924997,On or near Southacre Road,E01026445,Breckland 002C,Violent crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.584236665938,52.6823107997,On or near Meadow Close,E01026445,Breckland 002C,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.73155394658,52.6634399415,On or near Sydney Dye Court,E01026445,Breckland 002C,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.733780823348,52.6652320024,On or near Hills Close,E01026445,Breckland 002C,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.925379661943,52.7156182016,On or near Beech Road,E01026462,Breckland 002D,Anti-social behaviour,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.831991874834,52.73858765,On or near The Paddocks,E01026462,Breckland 002D,Other crime,,
,2010-12,Norfolk Constabulary,Norfolk Constabulary,0.895008993344,52.7616689313,On or near Gateley Road,E01026462,Breckland 002D,Other crime,,
