Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.907171612069,52.1075716377,On or near Duke Street,E01029876,Babergh 001A,Burglary,,Other Burglary
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.897014637835,52.1252688891,On or near Browns Close,E01029876,Babergh 001A,Violent crime,,Other Violence Against the Person
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.909110876667,52.1063996001,On or near High Street,E01029876,Babergh 001A,Violent crime,,Other Violence Against the Person
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.913103640719,52.1096195028,On or near Brooksfield,E01029876,Babergh 001A,Violent crime,,Other Violence Against the Person
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.909110876667,52.1063996001,On or near High Street,E01029876,Babergh 001A,Other crime,,Theft & Handling Stolen Goods
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.90825103332,52.1057553181,On or near Newberry Road,E01029876,Babergh 001A,Other crime,,Criminal Damage
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.897014637835,52.1252688891,On or near Browns Close,E01029876,Babergh 001A,Other crime,,Fraud & Forgery
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.913103640719,52.1096195028,On or near Brooksfield,E01029876,Babergh 001A,Other crime,,Criminal Damage
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.793242734105,52.1042122107,On or near Meadow Close,E01029898,Babergh 001B,Anti-social behaviour,,Rowdy or Inconsiderate Behaviour
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.793242734105,52.1042122107,On or near Meadow Close,E01029898,Babergh 001B,Anti-social behaviour,,Rowdy or Inconsiderate Behaviour
,2010-12,Suffolk Constabulary,Suffolk Constabulary,0.797714650442,52.1082249786,On or near Barn Street,E01029898,Babergh 001B,Anti-social behaviour,,Abandoned Vehicles (Not Stolen Or Causing Obstruction)
