Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Surrey Police,Surrey Police,-0.0629715437694,50.8281878219,On or near Cowley Drive,E01017012,Brighton and Hove 017F,Other crime,,
,2010-12,Surrey Police,Surrey Police,0.0179021257245,51.3021850383,On or near Bridlington Close,E01000655,Bromley 039B,Vehicle crime,,
,2010-12,Surrey Police,Surrey Police,0.00295734708254,51.3322532652,On or near King Henry'S Drive,E01000747,Bromley 042B,Anti-social behaviour,,
,2010-12,Surrey Police,Surrey Police,0.0341313673822,51.3071381236,On or near Eagles Drive,E01032570,Bromley 042D,Burglary,,
,2010-12,Surrey Police,Surrey Police,-0.733849935216,50.9988352222,On or near Upperfield,E01031497,Chichester 004A,Vehicle crime,,
,2010-12,Surrey Police,Surrey Police,-0.731711049133,50.9967886688,On or near Dodsley Lane,E01031497,Chichester 004A,Other crime,,
,2010-12,Surrey Police,Surrey Police,-0.0653295150874,51.3220612809,On or near Ashdown Gardens,E01001106,Croydon 039C,Burglary,,
,2010-12,Surrey Police,Surrey Police,-0.110940747909,51.2923562292,On or near The Grove,E01001021,Croydon 044D,Violent crime,,
,2010-12,Surrey Police,Surrey Police,-0.110940747909,51.2923562292,On or near The Grove,E01001021,Croydon 044D,Violent crime,,
,2010-12,Surrey Police,Surrey Police,-1.07498745581,53.472899859,On or near Central Drive,E01007590,Doncaster 037A,Violent crime,,
,2010-12,Surrey Police,Surrey Police,-0.801139882287,51.1431828111,On or near Wishanger Lane,E01022603,East Hampshire 004A,Burglary,,
,2010-12,Surrey Police,Surrey Police,-0.773840425456,51.1214078434,On or near Whitmore Vale,E01032625,East Hampshire 017E,Other crime,,
,2010-12,Surrey Police,Surrey Police,-0.369494279292,51.4076501632,On or near Hurst Road,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2010-12,Surrey Police,Surrey Police,-0.369494279292,51.4076501632,On or near Hurst Road,E01030330,Elmbridge 001A,Violent crime,,
,2010-12,Surrey Police,Surrey Police,-0.369494279292,51.4076501632,On or near Hurst Road,E01030330,Elmbridge 001A,Violent crime,,
,2010-12,Surrey Police,Surrey Police,-0.370081565816,51.4085216035,On or near Thames Meadow,E01030330,Elmbridge 001A,Other crime,,
