Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Thames Valley Police,Thames Valley Police,-0.981670757885,51.9986261672,On or near Treefields,E01017648,Aylesbury Vale 001A,Other crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.983713154094,51.9965578818,On or near Poplars Road,E01017649,Aylesbury Vale 001B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.99674971366,51.9971910957,On or near Westfields,E01017649,Aylesbury Vale 001B,Burglary,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.987085332978,51.9949325715,On or near Chandos Close,E01017649,Aylesbury Vale 001B,Burglary,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.987085332978,51.9949325715,On or near Chandos Close,E01017649,Aylesbury Vale 001B,Robbery,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.994949510121,51.9930218946,On or near Heather Close,E01017649,Aylesbury Vale 001B,Other crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.981315096905,51.990549135,On or near Meadow Gardens,E01017650,Aylesbury Vale 001C,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.98171921775,51.9868573062,On or near Homeground,E01017650,Aylesbury Vale 001C,Vehicle crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.960521448045,52.0583215792,On or near Brookside,E01032960,Aylesbury Vale 001F,Violent crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-1.0279524256,52.0387482294,On or near High Street,E01032960,Aylesbury Vale 001F,Other crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-1.02961176447,52.0408927569,On or near North Hill,E01032960,Aylesbury Vale 001F,Other crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.974420758066,52.0029149427,On or near Middlefield Close,E01017644,Aylesbury Vale 002A,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.973086138689,51.9994867227,On or near Mare Leys,E01017644,Aylesbury Vale 002A,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.971368540704,52.0007035121,On or near Bushey Close,E01017644,Aylesbury Vale 002A,Vehicle crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.971497859185,51.9976027309,On or near Small Crescent,E01017644,Aylesbury Vale 002A,Violent crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.971111054716,51.9992267327,On or near Valley Road,E01017644,Aylesbury Vale 002A,Violent crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.975255902517,52.0001529697,On or near Redshaw Close,E01017644,Aylesbury Vale 002A,Other crime,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.990318773085,51.9981701267,On or near Nelson Street,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.988707078155,51.9992352274,On or near Castle Street,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.985538464854,52.0015096911,On or near High Street,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.988208519527,52.0032589282,On or near Overn Close,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.990149875887,51.9972605847,On or near Church Street,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.988275689843,51.997694057,On or near Brooks Court,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.990146243995,51.9993644552,On or near School Lane,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.988275689843,51.997694057,On or near Brooks Court,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.988149864429,51.9981065641,On or near Well Street,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.985538464854,52.0015096911,On or near High Street,E01017645,Aylesbury Vale 002B,Anti-social behaviour,,
,2010-12,Thames Valley Police,Thames Valley Police,-0.990149875887,51.9972605847,On or near Church Street,E01017645,Aylesbury Vale 002B,Burglary,,
