Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,West Midlands Police,West Midlands Police,-1.85077234717,52.5886910058,On or near Seymour Gardens,E01009417,Birmingham 001A,Vehicle crime,,
,2010-12,West Midlands Police,West Midlands Police,-1.84288191426,52.5992887739,On or near Balmoral Road,E01009418,Birmingham 001B,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84288191426,52.5992887739,On or near Balmoral Road,E01009418,Birmingham 001B,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84288191426,52.5992887739,On or near Balmoral Road,E01009418,Birmingham 001B,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84288191426,52.5992887739,On or near Balmoral Road,E01009418,Birmingham 001B,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84288191426,52.5992887739,On or near Balmoral Road,E01009418,Birmingham 001B,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84194428541,52.5972648267,On or near Chelsea Drive,E01009418,Birmingham 001B,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84194428541,52.5972648267,On or near Chelsea Drive,E01009418,Birmingham 001B,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84288191426,52.5992887739,On or near Balmoral Road,E01009418,Birmingham 001B,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84064146564,52.5982699401,On or near Badgers Bank Road,E01009418,Birmingham 001B,Burglary,,
,2010-12,West Midlands Police,West Midlands Police,-1.84288191426,52.5992887739,On or near Balmoral Road,E01009418,Birmingham 001B,Vehicle crime,,
,2010-12,West Midlands Police,West Midlands Police,-1.84064146564,52.5982699401,On or near Badgers Bank Road,E01009418,Birmingham 001B,Violent crime,,
,2010-12,West Midlands Police,West Midlands Police,-1.84288191426,52.5992887739,On or near Balmoral Road,E01009418,Birmingham 001B,Other crime,,
,2010-12,West Midlands Police,West Midlands Police,-1.84989524828,52.5991719964,On or near Kesterton Road,E01009419,Birmingham 001C,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84989524828,52.5991719964,On or near Kesterton Road,E01009419,Birmingham 001C,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84989524828,52.5991719964,On or near Kesterton Road,E01009419,Birmingham 001C,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84989524828,52.5991719964,On or near Kesterton Road,E01009419,Birmingham 001C,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84946881567,52.5986680283,On or near Harrison Road,E01009419,Birmingham 001C,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84989524828,52.5991719964,On or near Kesterton Road,E01009419,Birmingham 001C,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84946881567,52.5986680283,On or near Harrison Road,E01009419,Birmingham 001C,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84907941376,52.5959795875,On or near Blackberry Lane,E01009419,Birmingham 001C,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.84989524828,52.5991719964,On or near Kesterton Road,E01009419,Birmingham 001C,Other crime,,
,2010-12,West Midlands Police,West Midlands Police,-1.84052374745,52.6022342763,On or near Cranmer Grove,E01009433,Birmingham 001D,Anti-social behaviour,,
,2010-12,West Midlands Police,West Midlands Police,-1.8412934734,52.6016959215,On or near Augustine Grove,E01009433,Birmingham 001D,Vehicle crime,,
,2010-12,West Midlands Police,West Midlands Police,-1.83826475805,52.5941853596,On or near Hillside Road,E01009415,Birmingham 002A,Anti-social behaviour,,
