Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.67122077128,53.5522571221,On or near Wellthorne Lane,E01007426,Barnsley 027D,Other crime,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.86296294175,53.9377497108,On or near Old Lane,E01010646,Bradford 001A,Anti-social behaviour,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.87549505178,53.9442974175,On or near Wharfe Park,E01010646,Bradford 001A,Anti-social behaviour,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.88351066612,53.9435504697,On or near Old Station Way,E01010647,Bradford 001B,Burglary,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.88771277742,53.9445341254,On or near Main Street,E01010648,Bradford 001C,Anti-social behaviour,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.81883063481,53.9210190396,On or near Crossbeck Road,E01010692,Bradford 001D,Anti-social behaviour,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.82180054368,53.9244208573,On or near Station Road,E01010692,Bradford 001D,Other crime,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.81258367285,53.9219441968,On or near Wheatley Road,E01010691,Bradford 002A,Burglary,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.81258367285,53.9219441968,On or near Wheatley Road,E01010691,Bradford 002A,Burglary,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.81258367285,53.9219441968,On or near Wheatley Road,E01010691,Bradford 002A,Burglary,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.8098562708,53.922344366,On or near Marlborough Square,E01010691,Bradford 002A,Vehicle crime,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.81258367285,53.9219441968,On or near Wheatley Road,E01010691,Bradford 002A,Other crime,,
,2010-12,West Yorkshire Police,West Yorkshire Police,-1.82990587245,53.9346337095,On or near Gill Bank Road,E01010694,Bradford 002C,Vehicle crime,,
