Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Wiltshire Police,Wiltshire Police,-2.30148732647,51.3406240057,On or near Station Road,E01033078,Bath and North East Somerset 010G,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.69238924025,51.6932278174,On or near Thames Street,E01022210,Cotswold 009F,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70868456417,51.6337832839,On or near Downs View,E01015519,Swindon 001A,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71142677931,51.6342575953,On or near Westrop,E01015519,Swindon 001A,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.7152611353,51.6333858009,On or near Newburgh Place,E01015519,Swindon 001A,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71832138848,51.6315050049,On or near Windrush,E01015519,Swindon 001A,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.7152611353,51.6333858009,On or near Newburgh Place,E01015519,Swindon 001A,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71330258087,51.6323650248,On or near Station Road,E01015519,Swindon 001A,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70883463804,51.6351683134,On or near Turnpike Road,E01015519,Swindon 001A,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71643334333,51.6330829312,On or near St. Michaels Avenue,E01015519,Swindon 001A,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.7152611353,51.6333858009,On or near Newburgh Place,E01015519,Swindon 001A,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70883463804,51.6351683134,On or near Turnpike Road,E01015519,Swindon 001A,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71330258087,51.6323650248,On or near Station Road,E01015519,Swindon 001A,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71142677931,51.6342575953,On or near Westrop,E01015519,Swindon 001A,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71832138848,51.6315050049,On or near Windrush,E01015519,Swindon 001A,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.7152611353,51.6333858009,On or near Newburgh Place,E01015519,Swindon 001A,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.7152611353,51.6333858009,On or near Newburgh Place,E01015519,Swindon 001A,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70773555164,51.6353184373,On or near Queens Avenue,E01015519,Swindon 001A,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.7152611353,51.6333858009,On or near Newburgh Place,E01015519,Swindon 001A,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70993306849,51.6305854739,On or near High Street,E01015520,Swindon 001B,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71188488908,51.6257979161,On or near Swindon Road,E01015520,Swindon 001B,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70993306849,51.6305854739,On or near High Street,E01015520,Swindon 001B,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70993306849,51.6305854739,On or near High Street,E01015520,Swindon 001B,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71184625837,51.6296191208,On or near Swindon Street,E01015520,Swindon 001B,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70993306849,51.6305854739,On or near High Street,E01015520,Swindon 001B,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70993306849,51.6305854739,On or near High Street,E01015520,Swindon 001B,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.7079778112,51.629088078,On or near Park Avenue,E01015520,Swindon 001B,Anti-social behaviour,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71095168679,51.6294370983,On or near Gilmore Court,E01015520,Swindon 001B,Burglary,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.71095168679,51.6294370983,On or near Gilmore Court,E01015520,Swindon 001B,Other crime,,
,2010-12,Wiltshire Police,Wiltshire Police,-1.70993306849,51.6305854739,On or near High Street,E01015520,Swindon 001B,Other crime,,
