Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133546293423,52.2266781403,On or near Haviland Way,E01017975,Cambridge 001A,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.131528668371,52.2301045471,On or near Cadwin Field,E01017975,Cambridge 001A,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.132361799296,52.2306829598,On or near Nuns Way,E01017975,Cambridge 001A,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133320068507,52.2289841557,On or near Campkin Road,E01017975,Cambridge 001A,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.135216002052,52.2285182532,On or near Kent Way,E01017975,Cambridge 001A,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.131528668371,52.2301045471,On or near Cadwin Field,E01017975,Cambridge 001A,Violent crime,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.132361799296,52.2306829598,On or near Nuns Way,E01017975,Cambridge 001A,Other crime,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136532322956,52.2284854353,On or near Jackson Road,E01017975,Cambridge 001A,Other crime,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136532322956,52.2284854353,On or near Jackson Road,E01017975,Cambridge 001A,Other crime,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.142650318765,52.2278170051,On or near Ramsden Square,E01017976,Cambridge 001B,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.143759363057,52.2298650009,On or near Lovell Road,E01017976,Cambridge 001B,Burglary,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.142650318765,52.2278170051,On or near Ramsden Square,E01017976,Cambridge 001B,Other crime,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.142650318765,52.2278170051,On or near Ramsden Square,E01017976,Cambridge 001B,Other crime,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.13966003666,52.2295797267,On or near Apthorpe Way,E01017977,Cambridge 001C,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.140388187289,52.2298003107,On or near Woodhouse Way,E01017977,Cambridge 001C,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.140388187289,52.2298003107,On or near Woodhouse Way,E01017977,Cambridge 001C,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.138938702994,52.2264546297,On or near Moore Close,E01017977,Cambridge 001C,Anti-social behaviour,,
,2010-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.13966003666,52.2295797267,On or near Apthorpe Way,E01017977,Cambridge 001C,Anti-social behaviour,,
