Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,City of London Police,City of London Police,-0.112951538692,51.5182669696,On or near Southampton Buildings,E01000914,Camden 028B,Vehicle crime,,
,2010-12,City of London Police,City of London Police,-0.112951538692,51.5182669696,On or near Southampton Buildings,E01000914,Camden 028B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.112951538692,51.5182669696,On or near Southampton Buildings,E01000914,Camden 028B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.114939980647,51.5186316674,On or near Brownlow Street,E01000914,Camden 028B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.125742352995,51.5163678072,On or near Grape Street,E01000919,Camden 028D,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.125742352995,51.5163678072,On or near Grape Street,E01000919,Camden 028D,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0985191190775,51.517332466,On or near Little Britain,E01000001,City of London 001A,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0971695711848,51.5192799481,On or near Aldersgate Street,E01000001,City of London 001A,Violent crime,,
,2010-12,City of London Police,City of London Police,-0.0985191190775,51.517332466,On or near Little Britain,E01000001,City of London 001A,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0985191190775,51.517332466,On or near Little Britain,E01000001,City of London 001A,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0940942058812,51.5156060164,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0940942058812,51.5156060164,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near Moorfields,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near Moorfields,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near Moorfields,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0939478289335,51.5180765906,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0939478289335,51.5180765906,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near Moorfields,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near Moorfields,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near Moorfields,E01000002,City of London 001B,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0939478289335,51.5180765906,On or near Monkwell Square,E01000002,City of London 001B,Burglary,,
,2010-12,City of London Police,City of London Police,-0.0920934619313,51.5169223715,On or near Basinghall Street,E01000002,City of London 001B,Vehicle crime,,
,2010-12,City of London Police,City of London Police,-0.0920934619313,51.5169223715,On or near Basinghall Street,E01000002,City of London 001B,Vehicle crime,,
,2010-12,City of London Police,City of London Police,-0.0920934619313,51.5169223715,On or near Basinghall Street,E01000002,City of London 001B,Vehicle crime,,
,2010-12,City of London Police,City of London Police,-0.0939478289335,51.5180765906,On or near Monkwell Square,E01000002,City of London 001B,Vehicle crime,,
,2010-12,City of London Police,City of London Police,-0.0940942058812,51.5156060164,On or near Gresham Street,E01000002,City of London 001B,Violent crime,,
,2010-12,City of London Police,City of London Police,-0.0940942058812,51.5156060164,On or near Gresham Street,E01000002,City of London 001B,Violent crime,,
,2010-12,City of London Police,City of London Police,-0.0939478289335,51.5180765906,On or near Monkwell Square,E01000002,City of London 001B,Violent crime,,
,2010-12,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near Moorfields,E01000002,City of London 001B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0940942058812,51.5156060164,On or near Gresham Street,E01000002,City of London 001B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near Moorfields,E01000002,City of London 001B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near Moorfields,E01000002,City of London 001B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0940942058812,51.5156060164,On or near Gresham Street,E01000002,City of London 001B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0941146815746,51.5164966123,On or near Wood Street,E01000002,City of London 001B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0940942058812,51.5156060164,On or near Gresham Street,E01000002,City of London 001B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0939478289335,51.5180765906,On or near Monkwell Square,E01000002,City of London 001B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0941146815746,51.5164966123,On or near Wood Street,E01000002,City of London 001B,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0957568787366,51.5210105685,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0957568787366,51.5210105685,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0957568787366,51.5210105685,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0957568787366,51.5210105685,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0957568787366,51.5210105685,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0957568787366,51.5210105685,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0958595331324,51.5216596984,On or near Fann Street,E01000003,City of London 001C,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0958595331324,51.5216596984,On or near Fann Street,E01000003,City of London 001C,Burglary,,
,2010-12,City of London Police,City of London Police,-0.0957568787366,51.5210105685,On or near Bridgewater Square,E01000003,City of London 001C,Violent crime,,
,2010-12,City of London Police,City of London Police,-0.0958595331324,51.5216596984,On or near Fann Street,E01000003,City of London 001C,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0957568787366,51.5210105685,On or near Bridgewater Square,E01000003,City of London 001C,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0957568787366,51.5210105685,On or near Bridgewater Square,E01000003,City of London 001C,Other crime,,
,2010-12,City of London Police,City of London Police,-0.0760804712253,51.5114451026,On or near America Square,E01000005,City of London 001E,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0760804712253,51.5114451026,On or near America Square,E01000005,City of London 001E,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0760804712253,51.5114451026,On or near America Square,E01000005,City of London 001E,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0760804712253,51.5114451026,On or near America Square,E01000005,City of London 001E,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0756125198589,51.5146837477,On or near St. Botolph Street,E01000005,City of London 001E,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0760804712253,51.5114451026,On or near America Square,E01000005,City of London 001E,Anti-social behaviour,,
,2010-12,City of London Police,City of London Police,-0.0760804712253,51.5114451026,On or near America Square,E01000005,City of London 001E,Violent crime,,
