Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Cleveland Police,Cleveland Police,-1.27699151052,54.7393939348,On or near Attlee Avenue,E01020736,County Durham 039A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.26941949413,54.7320602832,On or near Fillpoke Lane,E01020736,County Durham 039A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.42419029244,54.7414759499,On or near Quetlaw Road,E01020790,County Durham 040C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.42419029244,54.7414759499,On or near Quetlaw Road,E01020790,County Durham 040C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.42419029244,54.7414759499,On or near Quetlaw Road,E01020790,County Durham 040C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.11346145569,54.4903015162,On or near Dikes Lane,E01027597,Hambleton 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.12817961689,54.4950998611,On or near Roseberry Crescent,E01027597,Hambleton 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.39582579538,54.4811763185,On or near Tofts Close,E01027592,Hambleton 003B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23705205922,54.7107868942,On or near Joyce Road,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23780492919,54.7111960367,On or near King Oswy Shops,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23544578737,54.7111901729,On or near King Oswy Drive,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23780492919,54.7111960367,On or near King Oswy Shops,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23780492919,54.7111960367,On or near King Oswy Shops,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23864392039,54.7094938057,On or near Whin Meadows,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23632481184,54.7131458576,On or near Lazenby Road,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23864392039,54.7094938057,On or near Whin Meadows,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23995788561,54.7106074306,On or near Marshall Close,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24371284856,54.7123384069,On or near Dorchester Drive,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23780492919,54.7111960367,On or near King Oswy Shops,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.2416339064,54.7114537001,On or near Miller Crescent,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23606979268,54.7101965651,On or near Tempest Road,E01011954,Hartlepool 001A,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.23606979268,54.7101965651,On or near Tempest Road,E01011954,Hartlepool 001A,Burglary,,
,2010-12,Cleveland Police,Cleveland Police,-1.23544578737,54.7111901729,On or near King Oswy Drive,E01011954,Hartlepool 001A,Violent crime,,
,2010-12,Cleveland Police,Cleveland Police,-1.2416339064,54.7114537001,On or near Miller Crescent,E01011954,Hartlepool 001A,Violent crime,,
,2010-12,Cleveland Police,Cleveland Police,-1.23705205922,54.7107868942,On or near Joyce Road,E01011954,Hartlepool 001A,Other crime,,
,2010-12,Cleveland Police,Cleveland Police,-1.23611615341,54.7118594243,On or near Whitrout Road,E01011954,Hartlepool 001A,Other crime,,
,2010-12,Cleveland Police,Cleveland Police,-1.23606979268,54.7101965651,On or near Tempest Road,E01011954,Hartlepool 001A,Other crime,,
,2010-12,Cleveland Police,Cleveland Police,-1.25001624317,54.7130965003,On or near Turnberry Grove,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24696426332,54.7169688875,On or near Ravensworth Crescent,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24851335712,54.7121076312,On or near Wentworth Grove,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24851335712,54.7121076312,On or near Wentworth Grove,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.25039580095,54.7135571756,On or near Carnoustie Grove,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.2465981402,54.7141087999,On or near Sandbanks Drive,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24696426332,54.7169688875,On or near Ravensworth Crescent,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24851335712,54.7121076312,On or near Wentworth Grove,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24851335712,54.7121076312,On or near Wentworth Grove,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.2465981402,54.7141087999,On or near Sandbanks Drive,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24696426332,54.7169688875,On or near Ravensworth Crescent,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.25039580095,54.7135571756,On or near Carnoustie Grove,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24823529331,54.7137145519,On or near Formby Close,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24851335712,54.7121076312,On or near Wentworth Grove,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.25039580095,54.7135571756,On or near Carnoustie Grove,E01011969,Hartlepool 001B,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24851335712,54.7121076312,On or near Wentworth Grove,E01011969,Hartlepool 001B,Other crime,,
,2010-12,Cleveland Police,Cleveland Police,-1.25156841984,54.7181566891,On or near Hartville Road,E01011970,Hartlepool 001C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.25465326876,54.7150123232,On or near Alderwood Close,E01011970,Hartlepool 001C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.25657384782,54.7160935443,On or near Applewood Close,E01011970,Hartlepool 001C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.25657384782,54.7160935443,On or near Applewood Close,E01011970,Hartlepool 001C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.24927493459,54.7162552795,On or near Lowdale Lane,E01011970,Hartlepool 001C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.25294859253,54.7148580451,On or near Woodstock Way,E01011970,Hartlepool 001C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.25465326876,54.7150123232,On or near Alderwood Close,E01011970,Hartlepool 001C,Anti-social behaviour,,
,2010-12,Cleveland Police,Cleveland Police,-1.25294859253,54.7148580451,On or near Woodstock Way,E01011970,Hartlepool 001C,Anti-social behaviour,,
