Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.38834160996,54.8635538173,On or near The Crofts,E01019126,Allerdale 001A,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.3866860376,54.8688841957,On or near Wampool Street,E01019126,Allerdale 001A,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.38834160996,54.8635538173,On or near The Crofts,E01019126,Allerdale 001A,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.38834160996,54.8635538173,On or near The Crofts,E01019126,Allerdale 001A,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.38834160996,54.8635538173,On or near The Crofts,E01019126,Allerdale 001A,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.3872518492,54.8649413215,On or near Holliday Crescent,E01019126,Allerdale 001A,Violent crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.38307122108,54.8711722306,On or near Fell Close,E01019126,Allerdale 001A,Violent crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.38723306913,54.8680241598,On or near Eden Street,E01019126,Allerdale 001A,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.38834160996,54.8635538173,On or near The Crofts,E01019126,Allerdale 001A,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.37910788532,54.878326198,On or near Skinburness Drive,E01019127,Allerdale 001B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.37910788532,54.878326198,On or near Skinburness Drive,E01019127,Allerdale 001B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.37910788532,54.878326198,On or near Skinburness Drive,E01019127,Allerdale 001B,Vehicle crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.20170330466,54.9024180507,On or near Birch Hill Lane,E01019132,Allerdale 001C,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.20170330466,54.9024180507,On or near Birch Hill Lane,E01019132,Allerdale 001C,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.20170330466,54.9024180507,On or near Birch Hill Lane,E01019132,Allerdale 001C,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.21153112681,54.8157392823,On or near Inglewood,E01019132,Allerdale 001C,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.20170330466,54.9024180507,On or near Birch Hill Lane,E01019132,Allerdale 001C,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15540074078,54.8179942387,On or near West Avenue,E01019134,Allerdale 001D,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15182390538,54.8164465231,On or near Syke Road,E01019134,Allerdale 001D,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.153840859,54.8205973465,On or near Lowmoor Road,E01019134,Allerdale 001D,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15194994734,54.8170474581,On or near Highmoor,E01019134,Allerdale 001D,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.153840859,54.8205973465,On or near Lowmoor Road,E01019134,Allerdale 001D,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.14745408887,54.8171080271,On or near Deer Park,E01019134,Allerdale 001D,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17556163139,54.8235882739,On or near Wampool Place,E01019135,Allerdale 001E,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17132087619,54.8244201383,On or near Waver Lane,E01019135,Allerdale 001E,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17190534561,54.8284766397,On or near Fell View,E01019135,Allerdale 001E,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17190534561,54.8284766397,On or near Fell View,E01019135,Allerdale 001E,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17553813687,54.8227796667,On or near Brookfield Avenue,E01019135,Allerdale 001E,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17553813687,54.8227796667,On or near Brookfield Avenue,E01019135,Allerdale 001E,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17042135262,54.8309893563,On or near Highfield Court,E01019135,Allerdale 001E,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17042135262,54.8309893563,On or near Highfield Court,E01019135,Allerdale 001E,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17132087619,54.8244201383,On or near Waver Lane,E01019135,Allerdale 001E,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17132087619,54.8244201383,On or near Waver Lane,E01019135,Allerdale 001E,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16923826911,54.8239908685,On or near Park Road,E01019135,Allerdale 001E,Vehicle crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16918324254,54.8226253677,On or near West Road,E01019135,Allerdale 001E,Violent crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17190534561,54.8284766397,On or near Fell View,E01019135,Allerdale 001E,Violent crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17281779782,54.8239743031,On or near Wiza Avenue,E01019135,Allerdale 001E,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17132087619,54.8244201383,On or near Waver Lane,E01019135,Allerdale 001E,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.17683566182,54.8229737936,On or near Eden Close,E01019135,Allerdale 001E,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.14952037225,54.8213662978,On or near Scholars Green,E01019136,Allerdale 001F,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15804722447,54.8256349539,On or near Market Hill,E01019136,Allerdale 001F,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.14932713682,54.828809382,On or near Kirkland Avenue,E01019136,Allerdale 001F,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16676132299,54.8303955036,On or near Cross Grove,E01019136,Allerdale 001F,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15267500022,54.8293887497,On or near Howrigg Bank,E01019136,Allerdale 001F,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16095044853,54.8259127757,On or near New Street,E01019136,Allerdale 001F,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16023500507,54.8183345577,On or near Brackenlands,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15932788005,54.8246970628,On or near Water Street,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16023500507,54.8183345577,On or near Brackenlands,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16119292543,54.8213450415,On or near The Crofts,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16221323579,54.8243549194,On or near West Street,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16081594743,54.8223102611,On or near George Street,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16023500507,54.8183345577,On or near Brackenlands,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15932788005,54.8246970628,On or near Water Street,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16133837456,54.824785685,On or near Market Place,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16023500507,54.8183345577,On or near Brackenlands,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15932788005,54.8246970628,On or near Water Street,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16221323579,54.8243549194,On or near West Street,E01019137,Allerdale 001G,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16093998759,54.823378532,On or near Croft Court,E01019137,Allerdale 001G,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16093998759,54.823378532,On or near Croft Court,E01019137,Allerdale 001G,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15981798362,54.8211604749,On or near South End,E01019137,Allerdale 001G,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16081594743,54.8223102611,On or near George Street,E01019137,Allerdale 001G,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16093998759,54.823378532,On or near Croft Court,E01019137,Allerdale 001G,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15932788005,54.8246970628,On or near Water Street,E01019137,Allerdale 001G,Violent crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15932788005,54.8246970628,On or near Water Street,E01019137,Allerdale 001G,Violent crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15932788005,54.8246970628,On or near Water Street,E01019137,Allerdale 001G,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15932788005,54.8246970628,On or near Water Street,E01019137,Allerdale 001G,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.15932788005,54.8246970628,On or near Water Street,E01019137,Allerdale 001G,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16008801149,54.8235214846,On or near High Street,E01019137,Allerdale 001G,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16023500507,54.8183345577,On or near Brackenlands,E01019137,Allerdale 001G,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.16008801149,54.8235214846,On or near High Street,E01019137,Allerdale 001G,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.18928203179,54.78782976,On or near Howgill Close,E01019083,Allerdale 002A,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.18928203179,54.78782976,On or near Howgill Close,E01019083,Allerdale 002A,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.18786250463,54.9482257055,On or near Field View,E01019107,Allerdale 002B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.18786250463,54.9482257055,On or near Field View,E01019107,Allerdale 002B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.0784379466,54.8995397681,On or near Oaks Lane,E01019107,Allerdale 002B,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.09066508541,54.8384185499,On or near West Park,E01019130,Allerdale 002C,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.04592578409,54.8424430068,On or near Stonehouse Park,E01019130,Allerdale 002C,Vehicle crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.04592578409,54.8424430068,On or near Stonehouse Park,E01019130,Allerdale 002C,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.09066508541,54.8384185499,On or near West Park,E01019130,Allerdale 002C,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.05277190112,54.8416289259,On or near Westhaven,E01019130,Allerdale 002C,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.05058934669,54.7497920734,On or near Friar Row,E01019131,Allerdale 002D,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.05058934669,54.7497920734,On or near Friar Row,E01019131,Allerdale 002D,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.31867319913,54.7640149814,On or near Fell View Close,E01019081,Allerdale 003A,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.31620124266,54.7663875205,On or near Brayton Road,E01019081,Allerdale 003A,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.3243399233,54.7676290363,On or near East Crescent,E01019081,Allerdale 003A,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.32000148564,54.7637578731,On or near Noble Croft,E01019081,Allerdale 003A,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.3243399233,54.7676290363,On or near East Crescent,E01019081,Allerdale 003A,Violent crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.3243399233,54.7676290363,On or near East Crescent,E01019081,Allerdale 003A,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.3243399233,54.7676290363,On or near East Crescent,E01019081,Allerdale 003A,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.31520497341,54.766820732,On or near Sheila Fell Close,E01019081,Allerdale 003A,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.32172082672,54.7631010472,On or near Ellen Garth,E01019081,Allerdale 003A,Other crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.33023733029,54.7635561503,On or near Pringle,E01019082,Allerdale 003B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.33629782936,54.7625817987,On or near West Street,E01019082,Allerdale 003B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.33023733029,54.7635561503,On or near Pringle,E01019082,Allerdale 003B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.33023733029,54.7635561503,On or near Pringle,E01019082,Allerdale 003B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.32434366035,54.765364195,On or near Brough Street,E01019082,Allerdale 003B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.33023733029,54.7635561503,On or near Pringle,E01019082,Allerdale 003B,Anti-social behaviour,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.32870278795,54.7641571491,On or near King Street,E01019082,Allerdale 003B,Burglary,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.33262269445,54.7661452696,On or near Beacon Close,E01019082,Allerdale 003B,Vehicle crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.33226236637,54.7608556987,On or near Station Road,E01019082,Allerdale 003B,Vehicle crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.33023733029,54.7635561503,On or near Pringle,E01019082,Allerdale 003B,Violent crime,,
,2010-12,Cumbria Constabulary,Cumbria Constabulary,-3.32870278795,54.7641571491,On or near King Street,E01019082,Allerdale 003B,Violent crime,,
