Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.55112926596,50.8284405971,On or near Church Path,E01018936,Cornwall 001A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54974554391,50.8283269544,On or near Breakwater Road,E01018936,Cornwall 001A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54411680224,50.8279732046,On or near The Strand,E01018936,Cornwall 001A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54457401383,50.8306345319,On or near Belle Vue Lane,E01018936,Cornwall 001A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54404084324,50.8307540971,On or near Queen Street,E01018936,Cornwall 001A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54411680224,50.8279732046,On or near The Strand,E01018936,Cornwall 001A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54404084324,50.8307540971,On or near Queen Street,E01018936,Cornwall 001A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54765806491,50.8311967906,On or near Summerleaze Crescent,E01018936,Cornwall 001A,Robbery,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54765806491,50.8311967906,On or near Summerleaze Crescent,E01018936,Cornwall 001A,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54197728168,50.8293690095,On or near Bramble Hill,E01018936,Cornwall 001A,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54759631164,50.8258915061,On or near Vicarage Road,E01018936,Cornwall 001A,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54759631164,50.8258915061,On or near Vicarage Road,E01018936,Cornwall 001A,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54420427388,50.8295812739,On or near Lansdown Road,E01018936,Cornwall 001A,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54420427388,50.8295812739,On or near Lansdown Road,E01018936,Cornwall 001A,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54197728168,50.8293690095,On or near Bramble Hill,E01018936,Cornwall 001A,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54759631164,50.8258915061,On or near Vicarage Road,E01018936,Cornwall 001A,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54475936985,50.8314309784,On or near Princes Street,E01018936,Cornwall 001A,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54765806491,50.8311967906,On or near Summerleaze Crescent,E01018936,Cornwall 001A,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.52996667626,50.829441343,On or near Bartlett Avenue,E01018937,Cornwall 001B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.53567355962,50.8244244928,On or near Manor Road,E01018937,Cornwall 001B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.53009558716,50.8286740331,On or near Speedwell Close,E01018937,Cornwall 001B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.53534012394,50.8219403268,On or near Stapleton Road,E01018937,Cornwall 001B,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.53534012394,50.8219403268,On or near Stapleton Road,E01018937,Cornwall 001B,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54357789843,50.826419955,On or near Bencoolen Road,E01018938,Cornwall 001C,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54040698279,50.8271276776,On or near Killerton Road,E01018938,Cornwall 001C,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54079756567,50.8249065725,On or near Monterey Close,E01018938,Cornwall 001C,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54357789843,50.826419955,On or near Bencoolen Road,E01018938,Cornwall 001C,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.53820231798,50.8370064343,On or near Brook Drive,E01018959,Cornwall 001D,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.52807570955,50.8294014075,On or near Goldsworthy Drive,E01018960,Cornwall 001E,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.51802853214,50.8300685169,On or near Ward Close,E01018960,Cornwall 001E,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.51820742235,50.8270605732,On or near St. Peters Road,E01018960,Cornwall 001E,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.52807570955,50.8294014075,On or near Goldsworthy Drive,E01018960,Cornwall 001E,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.52807570955,50.8294014075,On or near Goldsworthy Drive,E01018960,Cornwall 001E,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.51940002423,50.8267919663,On or near St. Olafs Road,E01018960,Cornwall 001E,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.51866320927,50.8320965047,On or near Poundfield Close,E01018960,Cornwall 001E,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.51293654797,50.8280737105,On or near Parc Fer Close,E01018960,Cornwall 001E,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54415297476,50.8388195213,On or near Pickard Way,E01018961,Cornwall 001F,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54339094223,50.83577809,On or near Flexbury Avenue,E01018961,Cornwall 001F,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.48141328119,50.8792420716,On or near North Close,E01018943,Cornwall 002A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.48745140276,50.8727635996,On or near Priestacott Park,E01018943,Cornwall 002A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.48141328119,50.8792420716,On or near North Close,E01018943,Cornwall 002A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.48828481544,50.8734653565,On or near Penstowe Road,E01018943,Cornwall 002A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.52743220786,50.8913136228,On or near Woodville Road,E01018943,Cornwall 002A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.52743220786,50.8913136228,On or near Woodville Road,E01018943,Cornwall 002A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.55507964765,50.7923408123,On or near Atlantic Close,E01018951,Cornwall 002B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.53985144181,50.7679661337,On or near Bangors Estate,E01018951,Cornwall 002B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.52724184633,50.8047661613,On or near St. Marwenne Close,E01018951,Cornwall 002B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.49988166188,50.7511654422,On or near Market Place,E01018974,Cornwall 002C,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.73304419592,50.6231610702,On or near Atlantic Road,E01018940,Cornwall 003A,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.73767926213,50.5941517559,On or near North Road,E01018940,Cornwall 003A,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.72913695735,50.6216156748,On or near Pengelly,E01018941,Cornwall 003B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.72618941301,50.620524405,On or near West Lane,E01018941,Cornwall 003B,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.72659782354,50.6266043218,On or near Water Lane,E01018941,Cornwall 003B,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.72515163529,50.6309376937,On or near Trecarne Gardens,E01018941,Cornwall 003B,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.75154572762,50.6634537861,On or near Fore Street,E01018942,Cornwall 003C,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.74123690644,50.6677175707,On or near Back Lane,E01018942,Cornwall 003C,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.69508047855,50.6849493393,On or near Potters Lane,E01018969,Cornwall 003D,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.69094274558,50.6836508338,On or near High Street,E01018969,Cornwall 003D,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.69508047855,50.6849493393,On or near Potters Lane,E01018969,Cornwall 003D,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.61775011238,50.7327560273,On or near Haven Road,E01018969,Cornwall 003D,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.70101931325,50.6825990744,On or near Tintagel Road,E01018969,Cornwall 003D,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.432897211,50.6755110325,On or near Mayna Parc,E01018953,Cornwall 004B,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.44709681192,50.6527006868,On or near Well Meadow,E01018968,Cornwall 004C,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.54144453379,50.6884837736,On or near Bury Close,E01018968,Cornwall 004C,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.44709681192,50.6527006868,On or near Well Meadow,E01018968,Cornwall 004C,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.6802438278,50.6236060595,On or near Hillhead Gardens,E01033291,Cornwall 004D,Burglary,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.67758497274,50.6250884073,On or near Warrens Field,E01033291,Cornwall 004D,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68163807327,50.6200300261,On or near Clease Meadows,E01033292,Cornwall 004E,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68032551618,50.6215623736,On or near Chapel Street,E01033292,Cornwall 004E,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68189168256,50.6212564637,On or near Mount Camel,E01033292,Cornwall 004E,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.67945992802,50.622005051,On or near Market Place,E01033292,Cornwall 004E,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68189168256,50.6212564637,On or near Mount Camel,E01033292,Cornwall 004E,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68032551618,50.6215623736,On or near Chapel Street,E01033292,Cornwall 004E,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68189168256,50.6212564637,On or near Mount Camel,E01033292,Cornwall 004E,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.67945992802,50.622005051,On or near Market Place,E01033292,Cornwall 004E,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.67937870381,50.6205767572,On or near Anvil Road,E01033292,Cornwall 004E,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68189168256,50.6212564637,On or near Mount Camel,E01033292,Cornwall 004E,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68032551618,50.6215623736,On or near Chapel Street,E01033292,Cornwall 004E,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68399396296,50.6179519185,On or near Highfield Road,E01033292,Cornwall 004E,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.68163807327,50.6200300261,On or near Clease Meadows,E01033292,Cornwall 004E,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.36491711765,50.6339364327,On or near Western Road,E01018946,Cornwall 005A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.37340289112,50.6308586273,On or near Cowlard Close,E01018946,Cornwall 005A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.37051008298,50.6321048009,On or near Highfield Park Road,E01018946,Cornwall 005A,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.37322483197,50.6264820252,On or near Quarry Crescent,E01018946,Cornwall 005A,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.37282434083,50.6303217648,On or near Moorland Road,E01018946,Cornwall 005A,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.37322483197,50.6264820252,On or near Quarry Crescent,E01018946,Cornwall 005A,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.36220983877,50.6295841767,On or near Dunheved Fields,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.3510009525,50.6367635975,On or near Kensey Valley Meadow,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.35620282913,50.6265308934,On or near Hurdon Way,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.35595803296,50.6337942392,On or near Race Hill,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.35620282913,50.6265308934,On or near Hurdon Way,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.36220983877,50.6295841767,On or near Dunheved Fields,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.34487068161,50.6298176986,On or near Foxglove Close,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.35620282913,50.6265308934,On or near Hurdon Way,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.35620282913,50.6265308934,On or near Hurdon Way,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.36220983877,50.6295841767,On or near Dunheved Fields,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.36220983877,50.6295841767,On or near Dunheved Fields,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.34895735143,50.6292496431,On or near Tavistock Road,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.3510009525,50.6367635975,On or near Kensey Valley Meadow,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.35594935593,50.6344689861,On or near Fair Park Close,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.35419810192,50.6336679349,On or near Bush Park,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.3510009525,50.6367635975,On or near Kensey Valley Meadow,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.34895735143,50.6292496431,On or near Tavistock Road,E01018947,Cornwall 005B,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.34487068161,50.6298176986,On or near Foxglove Close,E01018947,Cornwall 005B,Violent crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.34895735143,50.6292496431,On or near Tavistock Road,E01018947,Cornwall 005B,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.3510009525,50.6367635975,On or near Kensey Valley Meadow,E01018947,Cornwall 005B,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.3510009525,50.6367635975,On or near Kensey Valley Meadow,E01018947,Cornwall 005B,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.35595803296,50.6337942392,On or near Race Hill,E01018947,Cornwall 005B,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.34895735143,50.6292496431,On or near Tavistock Road,E01018947,Cornwall 005B,Other crime,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.36567653503,50.6400461219,On or near Tredydan Road,E01018948,Cornwall 005C,Anti-social behaviour,,
,2010-12,Devon and Cornwall Constabulary,Devon and Cornwall Constabulary,-4.36532832909,50.6418430584,On or near Newport Square,E01018948,Cornwall 005C,Anti-social behaviour,,
