Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Essex Police,Essex Police,0.435728733632,51.6381419952,On or near Carson Road,E01021237,Basildon 001A,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.43209006776,51.6400970053,On or near Oakwood Drive,E01021237,Basildon 001A,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.43209006776,51.6400970053,On or near Oakwood Drive,E01021237,Basildon 001A,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.438133125706,51.640394313,On or near Meade Road,E01021237,Basildon 001A,Violent crime,,
,2010-12,Essex Police,Essex Police,0.434973747042,51.643202793,On or near Glanmire,E01021238,Basildon 001B,Violent crime,,
,2010-12,Essex Police,Essex Police,0.434973747042,51.643202793,On or near Glanmire,E01021238,Basildon 001B,Other crime,,
,2010-12,Essex Police,Essex Police,0.441200807416,51.6283517099,On or near Outwood Common Road,E01021242,Basildon 001C,Burglary,,
,2010-12,Essex Police,Essex Police,0.421310216967,51.6379726732,On or near Perry Street,E01021250,Basildon 001D,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.421310216967,51.6379726732,On or near Perry Street,E01021250,Basildon 001D,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.420549182412,51.6402366415,On or near Portman Drive,E01021250,Basildon 001D,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.42172500544,51.6397897131,On or near Westbourne Gardens,E01021250,Basildon 001D,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.426159160727,51.642710831,On or near Lisa Close,E01021250,Basildon 001D,Burglary,,
,2010-12,Essex Police,Essex Police,0.425025039548,51.6415022134,On or near Norsey View Drive,E01021251,Basildon 001E,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.427357254066,51.6445746107,On or near Lampern Crescent,E01021251,Basildon 001E,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.40795945669,51.6388588477,On or near Edward Close,E01021245,Basildon 002A,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.408430045355,51.6406478065,On or near Beresford Court,E01021245,Basildon 002A,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.408430045355,51.6406478065,On or near Beresford Court,E01021245,Basildon 002A,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.408508915135,51.6415904601,On or near Betony Crescent,E01021245,Basildon 002A,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.407162688293,51.640188178,On or near Lorrimore Close,E01021245,Basildon 002A,Burglary,,
,2010-12,Essex Police,Essex Police,0.409264204781,51.6386612059,On or near Tavistock Drive,E01021245,Basildon 002A,Violent crime,,
,2010-12,Essex Police,Essex Police,0.409264204781,51.6386612059,On or near Tavistock Drive,E01021245,Basildon 002A,Violent crime,,
,2010-12,Essex Police,Essex Police,0.408641958833,51.6378286276,On or near The Foxgloves,E01021245,Basildon 002A,Violent crime,,
,2010-12,Essex Police,Essex Police,0.408641958833,51.6378286276,On or near The Foxgloves,E01021245,Basildon 002A,Other crime,,
,2010-12,Essex Police,Essex Police,0.410532116048,51.6407665322,On or near Spencer Close,E01021245,Basildon 002A,Other crime,,
,2010-12,Essex Police,Essex Police,0.405636406067,51.6337444598,On or near Earl Mountbatten Drive,E01021246,Basildon 002B,Vehicle crime,,
,2010-12,Essex Police,Essex Police,0.407411200747,51.6342386623,On or near Crescent Road,E01021246,Basildon 002B,Vehicle crime,,
,2010-12,Essex Police,Essex Police,0.408455014014,51.633210024,On or near Gordon Close,E01021246,Basildon 002B,Other crime,,
,2010-12,Essex Police,Essex Police,0.413130297134,51.6379792519,On or near Wellington Mews,E01021248,Basildon 002C,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.410597808844,51.6357380552,On or near Raven Close,E01021248,Basildon 002C,Anti-social behaviour,,
,2010-12,Essex Police,Essex Police,0.413130297134,51.6379792519,On or near Wellington Mews,E01021248,Basildon 002C,Violent crime,,
,2010-12,Essex Police,Essex Police,0.409577889369,51.6353093436,On or near Raven Lane,E01021248,Basildon 002C,Violent crime,,
