Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14725729744,51.356299295,On or near Brackenwood Drive,E01022553,Basingstoke and Deane 001A,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.1494920459,51.3566032756,On or near Franklin Avenue,E01022554,Basingstoke and Deane 001B,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.15930509262,51.3540214712,On or near Inhurst Way,E01022554,Basingstoke and Deane 001B,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.15265307144,51.3573005662,On or near Sarum Road,E01022554,Basingstoke and Deane 001B,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.15623991632,51.3528035192,On or near Whitedown Road,E01022554,Basingstoke and Deane 001B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.16389262902,51.3560325085,On or near Chippendale Close,E01022554,Basingstoke and Deane 001B,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.16183407264,51.3570878393,On or near Shyshack Lane,E01022554,Basingstoke and Deane 001B,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.16636734529,51.3557803813,On or near Heath End Road,E01022554,Basingstoke and Deane 001B,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.15623991632,51.3528035192,On or near Whitedown Road,E01022554,Basingstoke and Deane 001B,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14007904575,51.3507977445,On or near Maple Grove,E01022555,Basingstoke and Deane 001C,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14007904575,51.3507977445,On or near Maple Grove,E01022555,Basingstoke and Deane 001C,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.13948454893,51.3549386523,On or near Odette Gardens,E01022555,Basingstoke and Deane 001C,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14041641533,51.3534888017,On or near Mulfords Hill,E01022555,Basingstoke and Deane 001C,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14007904575,51.3507977445,On or near Maple Grove,E01022555,Basingstoke and Deane 001C,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14007904575,51.3507977445,On or near Maple Grove,E01022555,Basingstoke and Deane 001C,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.15585230454,51.3590500981,On or near Burnham Road,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.1478131637,51.3573014396,On or near Meon Close,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.16139499176,51.3583255796,On or near O'Bee Gardens,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.15973973636,51.3600941183,On or near Plantation Road,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.1555078026,51.3598209191,On or near Furze Road,E01022556,Basingstoke and Deane 001D,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.15585230454,51.3590500981,On or near Burnham Road,E01022556,Basingstoke and Deane 001D,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.1478131637,51.3573014396,On or near Meon Close,E01022556,Basingstoke and Deane 001D,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14502543351,51.3465807606,On or near New Road,E01022560,Basingstoke and Deane 001E,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14502543351,51.3465807606,On or near New Road,E01022560,Basingstoke and Deane 001E,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14486758837,51.3488905317,On or near Hythe Close,E01022560,Basingstoke and Deane 001E,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.09921920736,51.3540605837,On or near Whistlers Lane,E01022493,Basingstoke and Deane 002A,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.09916693108,51.3574591312,On or near School Lane,E01022493,Basingstoke and Deane 002A,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.0913045015,51.3701309908,On or near Church Road,E01022493,Basingstoke and Deane 002A,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.0875817194,51.3413098886,On or near Ash Lane,E01022493,Basingstoke and Deane 002A,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.08227857754,51.346618688,On or near Bramley Road,E01022493,Basingstoke and Deane 002A,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.10221246607,51.3537418603,On or near Romans Field,E01022493,Basingstoke and Deane 002A,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.10824880615,51.3312901044,On or near Beachs Crescent,E01022536,Basingstoke and Deane 002B,Violent crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.10824880615,51.3312901044,On or near Beachs Crescent,E01022536,Basingstoke and Deane 002B,Violent crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.12463268217,51.3573373995,On or near Spencer Close,E01022537,Basingstoke and Deane 002C,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.11899071223,51.3572231854,On or near Clappsgate Road,E01022537,Basingstoke and Deane 002C,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.11928966731,51.3596082899,On or near Penbere Close,E01022537,Basingstoke and Deane 002C,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.13377771901,51.3506614163,On or near Giles Road,E01022557,Basingstoke and Deane 002D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.13427320227,51.3495141121,On or near Tunworth Mews,E01022557,Basingstoke and Deane 002D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.13629232731,51.3513363869,On or near Stephens Road,E01022557,Basingstoke and Deane 002D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.13128722096,51.3509936653,On or near Bowmonts Road,E01022557,Basingstoke and Deane 002D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.13427320227,51.3495141121,On or near Tunworth Mews,E01022557,Basingstoke and Deane 002D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.13427320227,51.3495141121,On or near Tunworth Mews,E01022557,Basingstoke and Deane 002D,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14041457382,51.3474462207,On or near Stratfield Avenue,E01022558,Basingstoke and Deane 002E,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14295716936,51.3458462984,On or near Monkswood Crescent,E01022558,Basingstoke and Deane 002E,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.14209335927,51.345201551,On or near Farringdon Way,E01022558,Basingstoke and Deane 002E,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.13135614086,51.3465881338,On or near North View Road,E01022559,Basingstoke and Deane 002F,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.13250241077,51.3451938847,On or near Linton Close,E01022559,Basingstoke and Deane 002F,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.28183537129,51.3628571017,On or near Eagle Road,E01022488,Basingstoke and Deane 003A,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.28606972971,51.3325354717,On or near Oakfields Close,E01022488,Basingstoke and Deane 003A,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.28290863361,51.3640326108,On or near Beech Road,E01022488,Basingstoke and Deane 003A,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.28290863361,51.3640326108,On or near Beech Road,E01022488,Basingstoke and Deane 003A,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.28183537129,51.3628571017,On or near Eagle Road,E01022488,Basingstoke and Deane 003A,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.28183537129,51.3628571017,On or near Eagle Road,E01022488,Basingstoke and Deane 003A,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.28183537129,51.3628571017,On or near Eagle Road,E01022488,Basingstoke and Deane 003A,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.28183537129,51.3628571017,On or near Eagle Road,E01022488,Basingstoke and Deane 003A,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.28183537129,51.3628571017,On or near Eagle Road,E01022488,Basingstoke and Deane 003A,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.3138719447,51.3672392036,On or near Jonathan Hill,E01022489,Basingstoke and Deane 003B,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.33024132905,51.3469853944,On or near Breachfield,E01022489,Basingstoke and Deane 003B,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.3138719447,51.3672392036,On or near Jonathan Hill,E01022489,Basingstoke and Deane 003B,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.32160795603,51.3540662611,On or near Ox Drove,E01022489,Basingstoke and Deane 003B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.32413167003,51.3465097194,On or near Elkington Close,E01022489,Basingstoke and Deane 003B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.3138719447,51.3672392036,On or near Jonathan Hill,E01022489,Basingstoke and Deane 003B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.32541542801,51.339260699,On or near Well Street,E01022489,Basingstoke and Deane 003B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.3138719447,51.3672392036,On or near Jonathan Hill,E01022489,Basingstoke and Deane 003B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.3138719447,51.3672392036,On or near Jonathan Hill,E01022489,Basingstoke and Deane 003B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.3138719447,51.3672392036,On or near Jonathan Hill,E01022489,Basingstoke and Deane 003B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.3285077628,51.3595010874,On or near Woodbine Lane,E01022489,Basingstoke and Deane 003B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.3138719447,51.3672392036,On or near Jonathan Hill,E01022489,Basingstoke and Deane 003B,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.33024132905,51.3469853944,On or near Breachfield,E01022489,Basingstoke and Deane 003B,Violent crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.33079126331,51.3457027035,On or near Harts Lane,E01022489,Basingstoke and Deane 003B,Other crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.38960268027,51.3510052264,On or near Copnor Close,E01022500,Basingstoke and Deane 003D,Anti-social behaviour,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.39940604829,51.367807574,On or near Gore End Road,E01022500,Basingstoke and Deane 003D,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.38960268027,51.3510052264,On or near Copnor Close,E01022500,Basingstoke and Deane 003D,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.39940604829,51.367807574,On or near Gore End Road,E01022500,Basingstoke and Deane 003D,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.38960268027,51.3510052264,On or near Copnor Close,E01022500,Basingstoke and Deane 003D,Burglary,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.38960268027,51.3510052264,On or near Copnor Close,E01022500,Basingstoke and Deane 003D,Vehicle crime,,
,2010-12,Hampshire Constabulary,Hampshire Constabulary,-1.38960268027,51.3510052264,On or near Copnor Close,E01022500,Basingstoke and Deane 003D,Other crime,,
