Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00558819715826,51.7780009157,On or near Ranworth Avenue,E01023316,Broxbourne 001A,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00992482929629,51.7782812417,On or near Beechfield,E01023316,Broxbourne 001A,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00558819715826,51.7780009157,On or near Ranworth Avenue,E01023316,Broxbourne 001A,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0189602470722,51.7762037828,On or near Gosse Close,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0125048254289,51.7753214664,On or near Beyers Gardens,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00846910150134,51.7767728557,On or near Chaucer Way,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00846910150134,51.7767728557,On or near Chaucer Way,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0189602470722,51.7762037828,On or near Gosse Close,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00956597152974,51.7752357665,On or near Dymokes Way,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0159611119575,51.7758384661,On or near Plomer Avenue,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0180114508038,51.7770150788,On or near Ellis Close,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012183946045,51.7770155852,On or near Bridle Close,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.015285850207,51.7743793057,On or near Howfield Green,E01023317,Broxbourne 001B,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0103445735617,51.7763190333,On or near Molesworth,E01023317,Broxbourne 001B,Vehicle crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0103445735617,51.7763190333,On or near Molesworth,E01023317,Broxbourne 001B,Vehicle crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0103445735617,51.7763190333,On or near Molesworth,E01023317,Broxbourne 001B,Vehicle crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0150724986823,51.775607648,On or near Cathrow Mews,E01023317,Broxbourne 001B,Violent crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0159611119575,51.7758384661,On or near Plomer Avenue,E01023317,Broxbourne 001B,Other crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0150724986823,51.775607648,On or near Cathrow Mews,E01023317,Broxbourne 001B,Other crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0150724986823,51.775607648,On or near Cathrow Mews,E01023317,Broxbourne 001B,Other crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0150724986823,51.775607648,On or near Cathrow Mews,E01023317,Broxbourne 001B,Other crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0055145278162,51.7744117338,On or near Wallers Way,E01023318,Broxbourne 001C,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00465045879572,51.7752693227,On or near Nursery Road,E01023318,Broxbourne 001C,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00707490387399,51.7745281245,On or near Tunfield Road,E01023318,Broxbourne 001C,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00475411895089,51.7768627215,On or near Newton Close,E01023318,Broxbourne 001C,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00707490387399,51.7745281245,On or near Tunfield Road,E01023318,Broxbourne 001C,Burglary,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0055145278162,51.7744117338,On or near Wallers Way,E01023318,Broxbourne 001C,Burglary,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00465045879572,51.7752693227,On or near Nursery Road,E01023318,Broxbourne 001C,Burglary,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00391021259014,51.7772620394,On or near Thornbury Close,E01023318,Broxbourne 001C,Other crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.00707490387399,51.7745281245,On or near Tunfield Road,E01023318,Broxbourne 001C,Other crime,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0205462789219,51.7737486306,On or near Dells Wood Close,E01023319,Broxbourne 001D,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0177298519043,51.7682248534,On or near College Road,E01023319,Broxbourne 001D,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0205462789219,51.7737486306,On or near Dells Wood Close,E01023319,Broxbourne 001D,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0184003001862,51.7717791263,On or near Morice Road,E01023319,Broxbourne 001D,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0171686406828,51.7737546451,On or near Hobsons Close,E01023319,Broxbourne 001D,Anti-social behaviour,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0155921081208,51.7726849318,On or near High Wood Road,E01023319,Broxbourne 001D,Burglary,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0171686406828,51.7737546451,On or near Hobsons Close,E01023319,Broxbourne 001D,Burglary,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0155921081208,51.7726849318,On or near High Wood Road,E01023319,Broxbourne 001D,Burglary,,
,2010-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0173841559591,51.7714832287,On or near Roselands Avenue,E01023319,Broxbourne 001D,Burglary,,
