Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.45890468546,53.76278122,On or near Philips Road,E01012607,Blackburn with Darwen 001A,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.46204171903,53.7625085092,On or near Kelsall Avenue,E01012607,Blackburn with Darwen 001A,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.46274975169,53.7634405387,On or near Tintern Crescent,E01012607,Blackburn with Darwen 001A,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.45262269119,53.7654206502,On or near Lower Philips Road,E01012607,Blackburn with Darwen 001A,Burglary,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.45423592087,53.7602823442,On or near Challenge Way,E01012607,Blackburn with Darwen 001A,Burglary,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.46274975169,53.7634405387,On or near Tintern Crescent,E01012607,Blackburn with Darwen 001A,Violent crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.46326638616,53.7690291351,On or near Oakwood Avenue,E01012607,Blackburn with Darwen 001A,Violent crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.45262269119,53.7654206502,On or near Lower Philips Road,E01012607,Blackburn with Darwen 001A,Other crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.45890468546,53.76278122,On or near Philips Road,E01012607,Blackburn with Darwen 001A,Other crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47366263073,53.7680177767,On or near Douglas Place,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47663532964,53.7692822981,On or near Cornelian Street,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47366263073,53.7680177767,On or near Douglas Place,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47663532964,53.7692822981,On or near Cornelian Street,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47366263073,53.7680177767,On or near Douglas Place,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47467376457,53.770233834,On or near Peridot Close,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47663532964,53.7692822981,On or near Cornelian Street,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.46682237365,53.7640898597,On or near Lilac Road,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47366263073,53.7680177767,On or near Douglas Place,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47663532964,53.7692822981,On or near Cornelian Street,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47366263073,53.7680177767,On or near Douglas Place,E01012608,Blackburn with Darwen 001B,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.46798202023,53.7646965266,On or near Clarendon Road East,E01012608,Blackburn with Darwen 001B,Burglary,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47185710088,53.7693551377,On or near Highbank,E01012608,Blackburn with Darwen 001B,Burglary,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47663532964,53.7692822981,On or near Cornelian Street,E01012608,Blackburn with Darwen 001B,Vehicle crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47185710088,53.7693551377,On or near Highbank,E01012608,Blackburn with Darwen 001B,Violent crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47366263073,53.7680177767,On or near Douglas Place,E01012608,Blackburn with Darwen 001B,Violent crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47185710088,53.7693551377,On or near Highbank,E01012608,Blackburn with Darwen 001B,Violent crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47366263073,53.7680177767,On or near Douglas Place,E01012608,Blackburn with Darwen 001B,Other crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47467376457,53.770233834,On or near Peridot Close,E01012608,Blackburn with Darwen 001B,Other crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47467376457,53.770233834,On or near Peridot Close,E01012608,Blackburn with Darwen 001B,Other crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47663532964,53.7692822981,On or near Cornelian Street,E01012608,Blackburn with Darwen 001B,Other crime,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47564368227,53.7714793324,On or near Roe Lee Park,E01012633,Blackburn with Darwen 001C,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47637477561,53.7703888694,On or near Emerald Street,E01012633,Blackburn with Darwen 001C,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47637477561,53.7703888694,On or near Emerald Street,E01012633,Blackburn with Darwen 001C,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47930084512,53.7755273754,On or near Whalley New Road,E01012633,Blackburn with Darwen 001C,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47637477561,53.7703888694,On or near Emerald Street,E01012633,Blackburn with Darwen 001C,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.48487338454,53.7705884727,On or near Wilworth Crescent,E01012633,Blackburn with Darwen 001C,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.47574455385,53.7736900013,On or near Brownhill Drive,E01012633,Blackburn with Darwen 001C,Anti-social behaviour,,
,2010-12,Lancashire Constabulary,Lancashire Constabulary,-2.48487338454,53.7705884727,On or near Wilworth Crescent,E01012633,Blackburn with Darwen 001C,Anti-social behaviour,,
