Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,North Wales Police,North Wales Police,-2.92186961009,53.1759323736,On or near Lindfields,E01018352,Cheshire West and Chester 044B,Burglary,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-2.91777750461,53.1797843978,On or near Chester Street,E01018352,Cheshire West and Chester 044B,Vehicle crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.80940845986,53.3192322512,On or near Park Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.80706971886,53.3214432822,On or near Victoria Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81201142581,53.3200737457,On or near Curzon Road,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.80940845986,53.3192322512,On or near Park Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81196954632,53.319085486,On or near Riviere Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81678732855,53.3165759044,On or near Queensway,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.80706971886,53.3214432822,On or near Victoria Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81196954632,53.319085486,On or near Riviere Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81092590533,53.3213847887,On or near Victoria Street,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.8124581204,53.3182150249,On or near Clarence Gardens,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81678732855,53.3165759044,On or near Queensway,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.80940845986,53.3192322512,On or near Park Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81196954632,53.319085486,On or near Riviere Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.80940845986,53.3192322512,On or near Park Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.80940845986,53.3192322512,On or near Park Avenue,W01000132,Conwy 001A,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81201142581,53.3200737457,On or near Curzon Road,W01000132,Conwy 001A,Burglary,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81201142581,53.3200737457,On or near Curzon Road,W01000132,Conwy 001A,Violent crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81092590533,53.3213847887,On or near Victoria Street,W01000132,Conwy 001A,Violent crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81201142581,53.3200737457,On or near Curzon Road,W01000132,Conwy 001A,Other crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81092590533,53.3213847887,On or near Victoria Street,W01000132,Conwy 001A,Other crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.80940845986,53.3192322512,On or near Park Avenue,W01000132,Conwy 001A,Other crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.81092590533,53.3213847887,On or near Victoria Street,W01000132,Conwy 001A,Other crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83237967256,53.3241496399,On or near Chapel Street,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83461807921,53.3231263281,On or near Clifton Road,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83542274965,53.3247321452,On or near Clement Avenue,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83116925993,53.3270899755,On or near North Parade,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83382283769,53.3234891685,On or near Deganwy Avenue,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83357558982,53.325776427,On or near Bodhyfryd Road,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83419658787,53.3255511183,On or near Arvon Avenue,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.834071251,53.3268296239,On or near Tudno Street,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83357558982,53.325776427,On or near Bodhyfryd Road,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83237967256,53.3241496399,On or near Chapel Street,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83357558982,53.325776427,On or near Bodhyfryd Road,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83357558982,53.325776427,On or near Bodhyfryd Road,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83237967256,53.3241496399,On or near Chapel Street,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83116925993,53.3270899755,On or near North Parade,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83357558982,53.325776427,On or near Bodhyfryd Road,W01000146,Conwy 001B,Anti-social behaviour,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83116925993,53.3270899755,On or near North Parade,W01000146,Conwy 001B,Burglary,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83837870157,53.3260800658,On or near Cwlach Road,W01000146,Conwy 001B,Burglary,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83461807921,53.3231263281,On or near Clifton Road,W01000146,Conwy 001B,Vehicle crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83734439156,53.3257723649,On or near Church Walks,W01000146,Conwy 001B,Vehicle crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83357558982,53.325776427,On or near Bodhyfryd Road,W01000146,Conwy 001B,Violent crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83237967256,53.3241496399,On or near Chapel Street,W01000146,Conwy 001B,Violent crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.84308966475,53.3214584143,On or near Gogarth Road,W01000146,Conwy 001B,Violent crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83357558982,53.325776427,On or near Bodhyfryd Road,W01000146,Conwy 001B,Violent crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83461807921,53.3231263281,On or near Clifton Road,W01000146,Conwy 001B,Violent crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83116925993,53.3270899755,On or near North Parade,W01000146,Conwy 001B,Violent crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83237967256,53.3241496399,On or near Chapel Street,W01000146,Conwy 001B,Violent crime,,North Wales Dec 2010 Street Data
,2010-12,North Wales Police,North Wales Police,-3.83357558982,53.325776427,On or near Bodhyfryd Road,W01000146,Conwy 001B,Other crime,,North Wales Dec 2010 Street Data
