Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,North Yorkshire Police,North Yorkshire Police,-1.88112116019,53.9534705925,On or near Bolton Road,E01010646,Bradford 001A,Other crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-1.80556124,53.925851721,On or near Vale Gardens,E01010696,Bradford 002E,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-1.79558244418,53.9267429395,On or near Wheatley Lane,E01010696,Bradford 002E,Burglary,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-1.79558244418,53.9267429395,On or near Wheatley Lane,E01010696,Bradford 002E,Burglary,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-1.79558244418,53.9267429395,On or near Wheatley Lane,E01010696,Bradford 002E,Violent crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-1.79558244418,53.9267429395,On or near Wheatley Lane,E01010696,Bradford 002E,Other crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-1.75395833304,53.7900220985,On or near Manchester Road,E01033690,Bradford 039G,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-1.58519359706,54.7925119211,On or near Lilac Avenue,E01020711,County Durham 023C,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.53422794525,54.1447129319,On or near High Street,E01027558,Craven 001A,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.53488078165,54.1193560843,On or near Harley Close,E01027558,Craven 001A,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.50149569104,54.1179000876,On or near Pye Busk Close,E01027558,Craven 001A,Burglary,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.53494822576,54.1435862878,On or near Leeming Lane,E01027558,Craven 001A,Burglary,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.50767087118,54.1224578539,On or near Robin Lane,E01027558,Craven 001A,Other crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.50767087118,54.1224578539,On or near Robin Lane,E01027558,Craven 001A,Other crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.53422794525,54.1447129319,On or near High Street,E01027558,Craven 001A,Other crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.51507400906,54.1185797028,On or near Main Street,E01027559,Craven 001B,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.51507400906,54.1185797028,On or near Main Street,E01027559,Craven 001B,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.51117621442,54.1138868313,On or near Holme Park,E01027559,Craven 001B,Violent crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.51148648795,54.1192061642,On or near Grasmere Drive,E01027559,Craven 001B,Other crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.35769669647,54.1099114044,On or near Pant Lane,E01027569,Craven 001C,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.35769669647,54.1099114044,On or near Pant Lane,E01027569,Craven 001C,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.39368380189,54.1160004035,On or near Station Road,E01027569,Craven 001C,Vehicle crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.39331530246,54.1158578083,On or near The Green,E01027569,Craven 001C,Vehicle crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.35769669647,54.1099114044,On or near Pant Lane,E01027569,Craven 001C,Violent crime,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.46570017166,54.1536436204,On or near High Street,E01027570,Craven 001D,Anti-social behaviour,,
,2010-12,North Yorkshire Police,North Yorkshire Police,-2.47096555955,54.1480868193,On or near Laundry Lane,E01027570,Craven 001D,Burglary,,
