Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Northamptonshire Police,Northamptonshire Police,-1.32338850813,52.0692521475,On or near Grimsbury Square,E01028437,Cherwell 004C,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.694058011387,52.5010053086,On or near Woodlands Avenue,E01026971,Corby 001A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.694058011387,52.5010053086,On or near Woodlands Avenue,E01026971,Corby 001A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.694019020725,52.4983436815,On or near Cannock Road,E01026971,Corby 001A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.694019020725,52.4983436815,On or near Cannock Road,E01026971,Corby 001A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.697907183981,52.498872015,On or near Sarrington Road,E01026971,Corby 001A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.689376161041,52.5023920359,On or near Crick Close,E01026971,Corby 001A,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.694058011387,52.5010053086,On or near Woodlands Avenue,E01026971,Corby 001A,Vehicle crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.689376161041,52.5023920359,On or near Crick Close,E01026971,Corby 001A,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.696044736095,52.4965948848,On or near Netherfield Grove,E01026971,Corby 001A,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.694058011387,52.5010053086,On or near Woodlands Avenue,E01026971,Corby 001A,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.677345233785,52.5370514845,On or near Maltings Road,E01026979,Corby 001B,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.670688101633,52.5358351261,On or near Stafford Road,E01026979,Corby 001B,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.678606302684,52.5387557792,On or near Station Road,E01026979,Corby 001B,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.670688101633,52.5358351261,On or near Stafford Road,E01026979,Corby 001B,Robbery,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.724188636665,52.5161502932,On or near Main Street,E01026979,Corby 001B,Vehicle crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.677345233785,52.5370514845,On or near Maltings Road,E01026979,Corby 001B,Violent crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.671226376814,52.5375403732,On or near Fulwell Avenue,E01026979,Corby 001B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.678987668527,52.5373485286,On or near Arnhill Road,E01026979,Corby 001B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.678987668527,52.5373485286,On or near Arnhill Road,E01026979,Corby 001B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.670688101633,52.5358351261,On or near Stafford Road,E01026979,Corby 001B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.750848222709,52.5015913919,On or near Millfield Avenue,E01026980,Corby 001C,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.77498693917,52.4933746987,On or near The Gardens,E01026980,Corby 001C,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.688374048069,52.5078471741,On or near Fleming Road,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.698990633078,52.5080812327,On or near Causeway Road,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703438417165,52.5101529066,On or near Bardsley Road,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.706041237802,52.5048140587,On or near Tay Close,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.700842788292,52.5037321884,On or near Sycamore Close,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.702316381855,52.5067242159,On or near Watson Close,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.701059311693,52.5058832984,On or near White Post Court,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.700842788292,52.5037321884,On or near Sycamore Close,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.701059311693,52.5058832984,On or near White Post Court,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.706746268008,52.5028798144,On or near Poplar Road,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703438417165,52.5101529066,On or near Bardsley Road,E01026982,Corby 001D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703438417165,52.5101529066,On or near Bardsley Road,E01026982,Corby 001D,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.684160127326,52.5068563928,On or near Brunel Road,E01026982,Corby 001D,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.684160127326,52.5068563928,On or near Brunel Road,E01026982,Corby 001D,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.682531130257,52.5036825931,On or near Rutherford Court,E01026982,Corby 001D,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.702316381855,52.5067242159,On or near Watson Close,E01026982,Corby 001D,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.692811443778,52.5082648797,On or near Earlstrees Road,E01026982,Corby 001D,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.684160127326,52.5068563928,On or near Brunel Road,E01026982,Corby 001D,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.702108263965,52.5042855044,On or near Beech Close,E01026982,Corby 001D,Robbery,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.682531130257,52.5036825931,On or near Rutherford Court,E01026982,Corby 001D,Vehicle crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.705270037523,52.5029805501,On or near Larch Road,E01026982,Corby 001D,Vehicle crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.695687017547,52.5032079712,On or near Babbage Crescent,E01026982,Corby 001D,Violent crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.692811443778,52.5082648797,On or near Earlstrees Road,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703438417165,52.5101529066,On or near Bardsley Road,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.697713257873,52.5029425887,On or near Dewar Close,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.684160127326,52.5068563928,On or near Brunel Road,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.684160127326,52.5068563928,On or near Brunel Road,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.682531130257,52.5036825931,On or near Rutherford Court,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.702316381855,52.5067242159,On or near Watson Close,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.684160127326,52.5068563928,On or near Brunel Road,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703438417165,52.5101529066,On or near Bardsley Road,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.695687017547,52.5032079712,On or near Babbage Crescent,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703438417165,52.5101529066,On or near Bardsley Road,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.702316381855,52.5067242159,On or near Watson Close,E01026982,Corby 001D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.705362931609,52.4978120182,On or near Clarke Road,E01026969,Corby 002A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.70446423222,52.4948083383,On or near Dovedale Road,E01026969,Corby 002A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.712932492706,52.4973821271,On or near Carey Drive,E01026969,Corby 002A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.71118011871,52.4993769309,On or near Burns Drive,E01026969,Corby 002A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.712932492706,52.4973821271,On or near Carey Drive,E01026969,Corby 002A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.704893499042,52.4937341737,On or near Annandale Road,E01026969,Corby 002A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.70446423222,52.4948083383,On or near Dovedale Road,E01026969,Corby 002A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.708827067731,52.4967260499,On or near Clydesdale Road,E01026969,Corby 002A,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.70446423222,52.4948083383,On or near Dovedale Road,E01026969,Corby 002A,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.705302837474,52.4943410183,On or near Teesdale Road,E01026969,Corby 002A,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703758490543,52.5017772556,On or near Welland Vale Road,E01026970,Corby 002B,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.706076029312,52.4986109832,On or near Rowlett Road,E01026970,Corby 002B,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.699964843282,52.5005309126,On or near Irving Grove,E01026970,Corby 002B,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.707727951455,52.5000495353,On or near Shakespeare Way,E01026970,Corby 002B,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.709235074621,52.5014055696,On or near Wordsworth Avenue,E01026970,Corby 002B,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.704096136757,52.4983106126,On or near Crawford Grove,E01026970,Corby 002B,Violent crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.709235074621,52.5014055696,On or near Wordsworth Avenue,E01026970,Corby 002B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.709235074621,52.5014055696,On or near Wordsworth Avenue,E01026970,Corby 002B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.699846666634,52.5020400221,On or near Wharfedale Road,E01026970,Corby 002B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703758490543,52.5017772556,On or near Welland Vale Road,E01026970,Corby 002B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.709235074621,52.5014055696,On or near Wordsworth Avenue,E01026970,Corby 002B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.709235074621,52.5014055696,On or near Wordsworth Avenue,E01026970,Corby 002B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.709235074621,52.5014055696,On or near Wordsworth Avenue,E01026970,Corby 002B,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.702131461936,52.4954930282,On or near Spinney Grove,E01026972,Corby 002C,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703024891791,52.4976695403,On or near Studfall Avenue,E01026972,Corby 002C,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.702030671441,52.4959144776,On or near Thoroughsale Road,E01026972,Corby 002C,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.701413644359,52.4978586526,On or near Grays Close,E01026972,Corby 002C,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.700533802252,52.4952237603,On or near Deene Close,E01026972,Corby 002C,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.701413644359,52.4978586526,On or near Grays Close,E01026972,Corby 002C,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.702527727713,52.4970437443,On or near Ollis Close,E01026972,Corby 002C,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.697304221388,52.4978404588,On or near Shrubfield Grove,E01026972,Corby 002C,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.703412111114,52.4985278832,On or near Latimer Road,E01026972,Corby 002C,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.713968685332,52.5017537903,On or near Lindisfarne Road,E01026976,Corby 002D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.717469767286,52.5024391003,On or near Shetland Way,E01026976,Corby 002D,Anti-social behaviour,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.717469767286,52.5024391003,On or near Shetland Way,E01026976,Corby 002D,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.717469767286,52.5024391003,On or near Shetland Way,E01026976,Corby 002D,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.713968685332,52.5017537903,On or near Lindisfarne Road,E01026976,Corby 002D,Violent crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.717469767286,52.5024391003,On or near Shetland Way,E01026976,Corby 002D,Violent crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.713968685332,52.5017537903,On or near Lindisfarne Road,E01026976,Corby 002D,Violent crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.713968685332,52.5017537903,On or near Lindisfarne Road,E01026976,Corby 002D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.717469767286,52.5024391003,On or near Shetland Way,E01026976,Corby 002D,Other crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.713145439821,52.5047206993,On or near Carron Close,E01026981,Corby 002E,Burglary,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.72135532107,52.5035869761,On or near Katrine Close,E01026981,Corby 002E,Violent crime,,
,2010-12,Northamptonshire Police,Northamptonshire Police,-0.716069306827,52.504491731,On or near Cam Close,E01026981,Corby 002E,Violent crime,,
