Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Northumbria Police,Northumbria Police,-3.00421932962,55.0051046259,On or near Greenmill Road,E01019228,Carlisle 001C,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.72116474021,54.9080071769,On or near Oakfields,E01020635,County Durham 001B,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.7099965912,54.8929379294,On or near Tudor Drive,E01020676,County Durham 001E,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.6100891571,54.8882373207,On or near Askrigg Close,E01020623,County Durham 002D,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.84369405814,54.8912421325,On or near Chesters Dene,E01020656,County Durham 003E,Other crime,,
,2010-12,Northumbria Police,Northumbria Police,-1.63097411282,54.8357858514,On or near Jubilee Close,E01020604,County Durham 019A,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.63116953192,54.8160431575,On or near Valley View,E01020619,County Durham 019C,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.49508837756,54.7971492335,On or near Front Street,E01020725,County Durham 027A,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-2.22044487159,54.7486528175,On or near Vedra Close,E01020889,County Durham 042A,Vehicle crime,,
,2010-12,Northumbria Police,Northumbria Police,-2.22044487159,54.7486528175,On or near Vedra Close,E01020889,County Durham 042A,Violent crime,,
,2010-12,Northumbria Police,Northumbria Police,-2.22044487159,54.7486528175,On or near Vedra Close,E01020889,County Durham 042A,Violent crime,,
,2010-12,Northumbria Police,Northumbria Police,-1.97698411155,54.8451413725,On or near The Closes,E01020891,County Durham 042C,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.74914279159,54.9711247663,On or near Church Rise,E01008246,Gateshead 001A,Other crime,,
,2010-12,Northumbria Police,Northumbria Police,-1.7535500608,54.9682222291,On or near Croft Close,E01008247,Gateshead 001B,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.75722170203,54.9706558869,On or near North Grove,E01008247,Gateshead 001B,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.75957520633,54.9689172289,On or near Constable Close,E01008247,Gateshead 001B,Burglary,,
,2010-12,Northumbria Police,Northumbria Police,-1.77370249852,54.970516893,On or near Fairfields,E01008247,Gateshead 001B,Other crime,,
,2010-12,Northumbria Police,Northumbria Police,-1.7545520774,54.9678378453,On or near Whernside Walk,E01008247,Gateshead 001B,Other crime,,
,2010-12,Northumbria Police,Northumbria Police,-1.7545520774,54.9678378453,On or near Whernside Walk,E01008247,Gateshead 001B,Other crime,,
,2010-12,Northumbria Police,Northumbria Police,-1.75722170203,54.9706558869,On or near North Grove,E01008247,Gateshead 001B,Other crime,,
,2010-12,Northumbria Police,Northumbria Police,-1.73427862551,54.9700508306,On or near Storey Lane,E01008248,Gateshead 001C,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.73427862551,54.9700508306,On or near Storey Lane,E01008248,Gateshead 001C,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.72562292662,54.9657362099,On or near Summerhill,E01008248,Gateshead 001C,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.72562292662,54.9657362099,On or near Summerhill,E01008248,Gateshead 001C,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.73022158902,54.9694038857,On or near Parkland,E01008248,Gateshead 001C,Anti-social behaviour,,
,2010-12,Northumbria Police,Northumbria Police,-1.73384293281,54.9745250206,On or near King Oswald Drive,E01008248,Gateshead 001C,Burglary,,
