Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.25748553023,53.1412684122,On or near Whitehead Lane,E01027979,Ashfield 001A,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.25267295861,53.1394764422,On or near Sutton Close,E01027979,Ashfield 001A,Anti-social behaviour,,
6dae6f1d627f943b964aa6811c7d72a0d84b04c3e78ff2771c5e4c4be1cf2ba6,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.26126411465,53.1440965207,On or near Mansfield Road,E01027979,Ashfield 001A,Burglary,,
e830903bf868402f8523cfb016cd8707cd2cdf39925f008fc67f691060fa755f,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.25748553023,53.1412684122,On or near Whitehead Lane,E01027979,Ashfield 001A,Other crime,,
f41943f3f036bd20213416925de78618e42fd6f000f2e8fc3c81d5cde7bc1127,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.2424701523,53.1424593262,On or near Beck Lane,E01027979,Ashfield 001A,Other crime,,
d99b5a5717cd1a93a43a4dc135e8f8936baf792664cabeb59eae503c3aa599fc,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.25234415304,53.1429172285,On or near Moorland Close,E01027979,Ashfield 001A,Other crime,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.28241628627,53.1424729245,On or near Meden Bank,E01027980,Ashfield 001B,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.26944852905,53.1437155121,On or near Birchwood Drive,E01027980,Ashfield 001B,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27177401706,53.1441162835,On or near Healdswood Street,E01027980,Ashfield 001B,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.26932879959,53.1463665765,On or near Cedar Close,E01027980,Ashfield 001B,Anti-social behaviour,,
ed992f91018253c6c7eaa116f2f4de7fae7b75a342a005e6dd13b11bd9575e48,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.28387975346,53.1452683646,On or near Crompton Street,E01027980,Ashfield 001B,Burglary,,
abc7e8785381dec2a7a65da2ffe91026af7f133d110efdabe08b48c903bc6fd2,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27492356824,53.1444141579,On or near Barker Avenue,E01027980,Ashfield 001B,Violent crime,,
adacfb96927f374ef5d68f0c8f96b64bb6beca9a22c05ce312cca7b1a37e93e5,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.26725770092,53.1450684079,On or near Wheatfield Way,E01027980,Ashfield 001B,Violent crime,,
8aca20a37ce20ef5c99721fcd742aa7f06274e1154df0979bec93e03d94be5fb,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.26725770092,53.1450684079,On or near Wheatfield Way,E01027980,Ashfield 001B,Violent crime,,
d2a718e04ffad76701dac928b2f4661b8e638da6370785e24d7b2686b4b0d9cf,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.26983494378,53.1456145914,On or near Hazel Street,E01027980,Ashfield 001B,Other crime,,
96f62e012c5ea65d468675328427d25c322f478bd66c218ee9fd14adc0effb31,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.26944852905,53.1437155121,On or near Birchwood Drive,E01027980,Ashfield 001B,Other crime,,
7558580d92740f8b41340690c547042a88b355445aefa58c5880c25a97c900b0,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.28387975346,53.1452683646,On or near Crompton Street,E01027980,Ashfield 001B,Other crime,,
e5f71edff52a0492a7aa768586be893349adf8fcf7123426217b154fab901c18,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.26725770092,53.1450684079,On or near Wheatfield Way,E01027980,Ashfield 001B,Other crime,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.28540731724,53.1460146464,On or near Carnarvon Street,E01027981,Ashfield 001C,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.26645563293,53.1473916612,On or near Woodside,E01027981,Ashfield 001C,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.29458836857,53.1459525033,On or near Tibshelf Road,E01027981,Ashfield 001C,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.28101469256,53.140459894,On or near Greendale Close,E01027981,Ashfield 001C,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.30086641854,53.1506458777,On or near Silverhill Lane,E01027981,Ashfield 001C,Anti-social behaviour,,
d18709cdc0b04e0103778c4043fdbafbd539611c25bb481f82db0ba0f3b7c589,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.28251109238,53.1412689501,On or near Cottage Close,E01027981,Ashfield 001C,Other crime,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27811693604,53.1403165215,On or near Co-Operative Street,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27484426474,53.141132636,On or near New Lane,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27103424576,53.1418914391,On or near Lime Tree Avenue,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27746556936,53.1399350283,On or near Institute Street,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27484426474,53.141132636,On or near New Lane,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27484426474,53.141132636,On or near New Lane,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27484426474,53.141132636,On or near New Lane,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27737605411,53.1408154221,On or near High Street,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27746556936,53.1399350283,On or near Institute Street,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27737605411,53.1408154221,On or near High Street,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27737605411,53.1408154221,On or near High Street,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27103424576,53.1418914391,On or near Lime Tree Avenue,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27746556936,53.1399350283,On or near Institute Street,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27737605411,53.1408154221,On or near High Street,E01027983,Ashfield 001D,Anti-social behaviour,,
,2010-12,Nottinghamshire Police,Nottinghamshire Police,-1.27737605411,53.1408154221,On or near High Street,E01027983,Ashfield 001D,Anti-social behaviour,,
