Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,South Wales Police,South Wales Police,-3.65822273471,51.6391285831,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.64980782477,51.6386177076,On or near North Street,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65882786244,51.6347228888,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65822273471,51.6391285831,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.64980782477,51.6386177076,On or near North Street,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65882786244,51.6347228888,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.64980782477,51.6386177076,On or near North Street,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65882786244,51.6347228888,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65882786244,51.6347228888,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65882786244,51.6347228888,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65882786244,51.6347228888,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65882786244,51.6347228888,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.64980782477,51.6386177076,On or near North Street,W01000991,Bridgend 001A,Burglary,,
,2010-12,South Wales Police,South Wales Police,-3.65968027863,51.6390720155,On or near Heol Ceulanydd,W01000991,Bridgend 001A,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.65882786244,51.6347228888,On or near Tudor Estate,W01000991,Bridgend 001A,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.64864568219,51.638849846,On or near Alexandra Place,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.64742966026,51.6391906343,On or near Brynglas Terrace,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65319521291,51.6367896119,On or near Treharne Road,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65179485277,51.6368273104,On or near Caerau Road,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65319521291,51.6367896119,On or near Treharne Road,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65319521291,51.6367896119,On or near Treharne Road,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.64864568219,51.638849846,On or near Alexandra Place,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65319521291,51.6367896119,On or near Treharne Road,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65319521291,51.6367896119,On or near Treharne Road,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65251218923,51.6382739353,On or near George Street,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65251218923,51.6382739353,On or near George Street,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.64864568219,51.638849846,On or near Alexandra Place,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.649317706,51.6386515714,On or near Alexandra Road,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65179485277,51.6368273104,On or near Caerau Road,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65564720539,51.6378520901,On or near Protheroe Street,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.64888076188,51.6373628471,On or near Railway Terrace,W01000992,Bridgend 001B,Burglary,,
,2010-12,South Wales Police,South Wales Police,-3.65319521291,51.6367896119,On or near Treharne Road,W01000992,Bridgend 001B,Burglary,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Vehicle crime,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Violent crime,,
,2010-12,South Wales Police,South Wales Police,-3.65213148868,51.6377397677,On or near Victoria Street,W01000992,Bridgend 001B,Violent crime,,
,2010-12,South Wales Police,South Wales Police,-3.65213148868,51.6377397677,On or near Victoria Street,W01000992,Bridgend 001B,Violent crime,,
,2010-12,South Wales Police,South Wales Police,-3.65179485277,51.6368273104,On or near Caerau Road,W01000992,Bridgend 001B,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.65179485277,51.6368273104,On or near Caerau Road,W01000992,Bridgend 001B,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.65598908365,51.6361297741,On or near Dan Y Bryn,W01000992,Bridgend 001B,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.64742966026,51.6391906343,On or near Brynglas Terrace,W01000992,Bridgend 001B,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.65319521291,51.6367896119,On or near Treharne Road,W01000992,Bridgend 001B,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.65564720539,51.6378520901,On or near Protheroe Street,W01000992,Bridgend 001B,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.64864568219,51.638849846,On or near Alexandra Place,W01000992,Bridgend 001B,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.64888076188,51.6373628471,On or near Railway Terrace,W01000992,Bridgend 001B,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.65319521291,51.6367896119,On or near Treharne Road,W01000992,Bridgend 001B,Other crime,,
,2010-12,South Wales Police,South Wales Police,-3.65547922523,51.6304629403,On or near Metcalfe Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65643465619,51.6344779301,On or near Talana Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65643465619,51.6344779301,On or near Talana Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65372853152,51.6351635194,On or near Wesley Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65643465619,51.6344779301,On or near Talana Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65682573357,51.6325211211,On or near Hermon Road,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65513629682,51.6329496013,On or near Carmen Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65643465619,51.6344779301,On or near Talana Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65682573357,51.6325211211,On or near Hermon Road,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65728019047,51.6295293209,On or near Magazine Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65513629682,51.6329496013,On or near Carmen Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65372853152,51.6351635194,On or near Wesley Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65360552421,51.6345627808,On or near Lloyd Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65643465619,51.6344779301,On or near Talana Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,
,2010-12,South Wales Police,South Wales Police,-3.65836356817,51.6303143181,On or near Bedw Street,W01000993,Bridgend 001C,Vehicle crime,,
,2010-12,South Wales Police,South Wales Police,-3.65372853152,51.6351635194,On or near Wesley Street,W01000993,Bridgend 001C,Vehicle crime,,
,2010-12,South Wales Police,South Wales Police,-3.65682573357,51.6325211211,On or near Hermon Road,W01000993,Bridgend 001C,Violent crime,,
,2010-12,South Wales Police,South Wales Police,-3.65682573357,51.6325211211,On or near Hermon Road,W01000993,Bridgend 001C,Violent crime,,
,2010-12,South Wales Police,South Wales Police,-3.65836356817,51.6303143181,On or near Bedw Street,W01000993,Bridgend 001C,Violent crime,,
