Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,South Yorkshire,South Yorkshire,-1.45166359721,53.5991630597,On or near Jack Close Orchard,E01007434,Barnsley 001A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.4517681288,53.5945884531,On or near Gooder Avenue,E01007434,Barnsley 001A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.4517681288,53.5945884531,On or near Gooder Avenue,E01007434,Barnsley 001A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.4517681288,53.5945884531,On or near Gooder Avenue,E01007434,Barnsley 001A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.45273298816,53.5970916375,On or near Church Street,E01007434,Barnsley 001A,Violent crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45513501654,53.5994755247,On or near Well Hill Grove,E01007434,Barnsley 001A,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45513501654,53.5994755247,On or near Well Hill Grove,E01007434,Barnsley 001A,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45730787344,53.5961776711,On or near Hollycroft Avenue,E01007434,Barnsley 001A,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45035746531,53.6008378969,On or near Galway Close,E01007434,Barnsley 001A,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45674654832,53.5963548929,On or near Redwood Avenue,E01007435,Barnsley 001B,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.46296922379,53.5953582923,On or near Grange Road,E01007435,Barnsley 001B,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.46656004288,53.5981697298,On or near West End Crescent,E01007435,Barnsley 001B,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.46403313711,53.5984460724,On or near High View,E01007435,Barnsley 001B,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.46011968784,53.5960645465,On or near Croft Avenue,E01007435,Barnsley 001B,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.46656004288,53.5981697298,On or near West End Crescent,E01007435,Barnsley 001B,Burglary,,
,2010-12,South Yorkshire,South Yorkshire,-1.46656004288,53.5981697298,On or near West End Crescent,E01007435,Barnsley 001B,Vehicle crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45729503154,53.5995392655,On or near Oakwood Avenue,E01007438,Barnsley 001C,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.45872008292,53.6015411351,On or near Newtown Avenue,E01007438,Barnsley 001C,Violent crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45858476828,53.5991226512,On or near Oakwood Crescent,E01007438,Barnsley 001C,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.46582632943,53.6000360395,On or near Chevet View,E01007439,Barnsley 001D,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.46495880085,53.599331073,On or near Back Lane West,E01007439,Barnsley 001D,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.46495880085,53.599331073,On or near Back Lane West,E01007439,Barnsley 001D,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.46582632943,53.6000360395,On or near Chevet View,E01007439,Barnsley 001D,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.46495880085,53.599331073,On or near Back Lane West,E01007439,Barnsley 001D,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.43811184832,53.5864445698,On or near Shaw Lane,E01007433,Barnsley 002A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.44277604977,53.5982052102,On or near Meadow Court,E01007433,Barnsley 002A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.43849988996,53.5970616833,On or near East End Crescent,E01007433,Barnsley 002A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.43849988996,53.5970616833,On or near East End Crescent,E01007433,Barnsley 002A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.4451053975,53.5957172586,On or near Church Hill,E01007433,Barnsley 002A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.4451053975,53.5957172586,On or near Church Hill,E01007433,Barnsley 002A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.43849988996,53.5970616833,On or near East End Crescent,E01007433,Barnsley 002A,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.43849988996,53.5970616833,On or near East End Crescent,E01007433,Barnsley 002A,Burglary,,
,2010-12,South Yorkshire,South Yorkshire,-1.43934694741,53.5992767954,On or near Caldervale,E01007433,Barnsley 002A,Violent crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.43849988996,53.5970616833,On or near East End Crescent,E01007433,Barnsley 002A,Violent crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.43811184832,53.5864445698,On or near Shaw Lane,E01007433,Barnsley 002A,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.4398782658,53.5979490017,On or near Cross Lane,E01007433,Barnsley 002A,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.43811184832,53.5864445698,On or near Shaw Lane,E01007433,Barnsley 002A,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.44606643842,53.5857715595,On or near Ivy Farm Close,E01007436,Barnsley 002B,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.45536720274,53.5943442171,On or near Central Drive,E01007436,Barnsley 002B,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.45300694296,53.5922571396,On or near Royston Lane,E01007436,Barnsley 002B,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.45536720274,53.5943442171,On or near Central Drive,E01007436,Barnsley 002B,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45350463038,53.5946682995,On or near North Close,E01007436,Barnsley 002B,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45536720274,53.5943442171,On or near Central Drive,E01007436,Barnsley 002B,Other crime,,
,2010-12,South Yorkshire,South Yorkshire,-1.45213897094,53.5881095229,On or near Wood Lane,E01007437,Barnsley 002C,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.45218265364,53.5847300861,On or near Springbank Close,E01007437,Barnsley 002C,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.45392609828,53.5854121818,On or near Salter Oak Croft,E01007437,Barnsley 002C,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.45218265364,53.5847300861,On or near Springbank Close,E01007437,Barnsley 002C,Anti-social behaviour,,
,2010-12,South Yorkshire,South Yorkshire,-1.453638223,53.5866512668,On or near Crookes Lane,E01007437,Barnsley 002C,Anti-social behaviour,,
