Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Staffordshire Police,Staffordshire Police,-1.9554801309,52.7675267292,On or near Canaway Walk,E01029368,Cannock Chase 001A,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95391139015,52.7653596591,On or near Lansdowne Way,E01029369,Cannock Chase 001B,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95391139015,52.7653596591,On or near Lansdowne Way,E01029369,Cannock Chase 001B,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95297674737,52.7662672362,On or near Lanehead Walk,E01029369,Cannock Chase 001B,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95084235805,52.7664821243,On or near Moss Green,E01029369,Cannock Chase 001B,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95084235805,52.7664821243,On or near Moss Green,E01029369,Cannock Chase 001B,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95058971045,52.7671022968,On or near Bracken Way,E01029369,Cannock Chase 001B,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95084235805,52.7664821243,On or near Moss Green,E01029369,Cannock Chase 001B,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.98812138326,52.7463910291,On or near Birches Valley,E01029370,Cannock Chase 001C,Vehicle crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95573856478,52.7610993156,On or near The Oaklands,E01029370,Cannock Chase 001C,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94396129636,52.7698681376,On or near Watson Close,E01029371,Cannock Chase 001D,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94855539883,52.7704005897,On or near William Morris Court,E01029371,Cannock Chase 001D,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94478989639,52.7709922136,On or near Richardson Way,E01029371,Cannock Chase 001D,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94247984668,52.7693190714,On or near Park Hall Close,E01029371,Cannock Chase 001D,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94855539883,52.7704005897,On or near William Morris Court,E01029371,Cannock Chase 001D,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94478989639,52.7709922136,On or near Richardson Way,E01029371,Cannock Chase 001D,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94156025443,52.7698130475,On or near Wolseley Road,E01029402,Cannock Chase 001E,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94025924266,52.767394222,On or near Eaton Drive,E01029402,Cannock Chase 001E,Burglary,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94050075581,52.7641671043,On or near Fortescue Lane,E01029402,Cannock Chase 001E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94108803863,52.768266618,On or near Portobello,E01029402,Cannock Chase 001E,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94025924266,52.767394222,On or near Eaton Drive,E01029402,Cannock Chase 001E,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94932744445,52.7692682412,On or near Holyoake Place,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94482315994,52.7681155837,On or near Winstanley Place,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94932744445,52.7692682412,On or near Holyoake Place,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94482315994,52.7681155837,On or near Winstanley Place,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95012969499,52.7676055185,On or near Catkin Walk,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94482315994,52.7681155837,On or near Winstanley Place,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94745922632,52.7698607408,On or near Harney Court,E01029372,Cannock Chase 002A,Burglary,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94482315994,52.7681155837,On or near Winstanley Place,E01029372,Cannock Chase 002A,Burglary,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94477734967,52.7691853151,On or near Wat Tyler Close,E01029372,Cannock Chase 002A,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94932744445,52.7692682412,On or near Holyoake Place,E01029372,Cannock Chase 002A,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94932744445,52.7692682412,On or near Holyoake Place,E01029372,Cannock Chase 002A,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94854303377,52.768306027,On or near Aneurin Bevan Place,E01029372,Cannock Chase 002A,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93490923466,52.7571972946,On or near Horse Fair,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93746602971,52.7514453585,On or near Queensway,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93957856962,52.7558513237,On or near Hill Street,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93490923466,52.7571972946,On or near Horse Fair,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93490923466,52.7571972946,On or near Horse Fair,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94208422151,52.7546479697,On or near Burnthill Lane,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94089917819,52.7544406285,On or near Upper Cross Road,E01029373,Cannock Chase 002B,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93849693363,52.7558507703,On or near Sandy Lane,E01029373,Cannock Chase 002B,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94368628684,52.7531834424,On or near Golden Close,E01029373,Cannock Chase 002B,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.9406321657,52.7546742238,On or near Cross Road,E01029373,Cannock Chase 002B,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94089917819,52.7544406285,On or near Upper Cross Road,E01029373,Cannock Chase 002B,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93626519554,52.7519840947,On or near Hardie Avenue,E01029373,Cannock Chase 002B,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93490923466,52.7571972946,On or near Horse Fair,E01029373,Cannock Chase 002B,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93490923466,52.7571972946,On or near Horse Fair,E01029373,Cannock Chase 002B,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93957856962,52.7558513237,On or near Hill Street,E01029373,Cannock Chase 002B,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94765789347,52.7648446761,On or near Wetherall Close,E01029401,Cannock Chase 002C,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94765789347,52.7648446761,On or near Wetherall Close,E01029401,Cannock Chase 002C,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94442670385,52.7651848157,On or near Speechly Drive,E01029401,Cannock Chase 002C,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94540597172,52.7642683367,On or near Campbell Close,E01029401,Cannock Chase 002C,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.9460259917,52.7662283351,On or near Fernwood Drive,E01029401,Cannock Chase 002C,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.95244482715,52.7647747646,On or near Sharnbrook Drive,E01029401,Cannock Chase 002C,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94765789347,52.7648446761,On or near Wetherall Close,E01029401,Cannock Chase 002C,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94626581683,52.7640260102,On or near Toy Close,E01029401,Cannock Chase 002C,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94626581683,52.7640260102,On or near Toy Close,E01029401,Cannock Chase 002C,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94765789347,52.7648446761,On or near Wetherall Close,E01029401,Cannock Chase 002C,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94380176001,52.7671352489,On or near Swallow Close,E01029401,Cannock Chase 002C,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.9467689452,52.7646375235,On or near Averill Drive,E01029401,Cannock Chase 002C,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94442670385,52.7651848157,On or near Speechly Drive,E01029401,Cannock Chase 002C,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.94520200961,52.7614545213,On or near Frank Gee Close,E01029403,Cannock Chase 002D,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93721673124,52.7600032675,On or near Elmore Lane,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93407527037,52.7599835914,On or near Albion Street,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93570174031,52.7624026639,On or near Anson Street,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93761617411,52.7604619435,On or near Bow Street,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93407527037,52.7599835914,On or near Albion Street,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93383930318,52.7592373294,On or near Brewery Street,E01029404,Cannock Chase 002E,Burglary,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93570174031,52.7624026639,On or near Anson Street,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93721673124,52.7600032675,On or near Elmore Lane,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93761617411,52.7604619435,On or near Bow Street,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93721673124,52.7600032675,On or near Elmore Lane,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93383930318,52.7592373294,On or near Brewery Street,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93721673124,52.7600032675,On or near Elmore Lane,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93407527037,52.7599835914,On or near Albion Street,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93383930318,52.7592373294,On or near Brewery Street,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93721673124,52.7600032675,On or near Elmore Lane,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93761617411,52.7604619435,On or near Bow Street,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93721673124,52.7600032675,On or near Elmore Lane,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93407527037,52.7599835914,On or near Albion Street,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93407527037,52.7599835914,On or near Albion Street,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93123329595,52.7579773185,On or near Keystone Road,E01029404,Cannock Chase 002E,Violent crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93669550634,52.7617919082,On or near Taylors Lane,E01029404,Cannock Chase 002E,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93721673124,52.7600032675,On or near Elmore Lane,E01029404,Cannock Chase 002E,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93761617411,52.7604619435,On or near Bow Street,E01029404,Cannock Chase 002E,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93383930318,52.7592373294,On or near Brewery Street,E01029404,Cannock Chase 002E,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93407527037,52.7599835914,On or near Albion Street,E01029404,Cannock Chase 002E,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93407527037,52.7599835914,On or near Albion Street,E01029404,Cannock Chase 002E,Other crime,,
,2010-12,Staffordshire Police,Staffordshire Police,-1.93407527037,52.7599835914,On or near Albion Street,E01029404,Cannock Chase 002E,Other crime,,
