Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Sussex Police,Sussex Police,-0.229364328415,50.8387369152,On or near The Crescent,E01031349,Adur 001A,Burglary,,
,2010-12,Sussex Police,Sussex Police,-0.226091364253,50.837778873,On or near Hadrian Avenue,E01031349,Adur 001A,Vehicle crime,,
,2010-12,Sussex Police,Sussex Police,-0.231763887393,50.8372534275,On or near Milton Drive,E01031349,Adur 001A,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.228608884093,50.8403082787,On or near Mile Oak Crescent,E01031350,Adur 001B,Burglary,,
,2010-12,Sussex Police,Sussex Police,-0.23093074485,50.8438868827,On or near Summersdeane,E01031350,Adur 001B,Violent crime,,
,2010-12,Sussex Police,Sussex Police,-0.228966151338,50.8428768063,On or near Highdown,E01031350,Adur 001B,Violent crime,,
,2010-12,Sussex Police,Sussex Police,-0.227264549558,50.842050559,On or near Ridgeway Close,E01031350,Adur 001B,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.238659131765,50.8415935822,On or near Downland Avenue,E01031351,Adur 001C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.234775683633,50.8458876734,On or near Cromleigh Way,E01031351,Adur 001C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.241665599286,50.842097586,On or near Downland Close,E01031351,Adur 001C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.234775683633,50.8458876734,On or near Cromleigh Way,E01031351,Adur 001C,Vehicle crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.245882487934,50.8455515395,On or near Holmbush Close,E01031351,Adur 001C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.246458891532,50.8404070251,On or near Franklin Road,E01031370,Adur 001E,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.246458891532,50.8404070251,On or near Franklin Road,E01031370,Adur 001E,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.254135406036,50.8409897894,On or near Fairfield Close,E01031370,Adur 001E,Burglary,,
,2010-12,Sussex Police,Sussex Police,-0.254135406036,50.8409897894,On or near Fairfield Close,E01031370,Adur 001E,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.246641759501,50.8378017061,On or near Shirley Close,E01031370,Adur 001E,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.236045514438,50.8374531354,On or near Roman Crescent,E01031374,Adur 001F,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.240836157872,50.8388474823,On or near Cross Road,E01031374,Adur 001F,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.236045514438,50.8374531354,On or near Roman Crescent,E01031374,Adur 001F,Burglary,,
,2010-12,Sussex Police,Sussex Police,-0.236045514438,50.8374531354,On or near Roman Crescent,E01031374,Adur 001F,Burglary,,
,2010-12,Sussex Police,Sussex Police,-0.241978837042,50.838298124,On or near Phoenix Way,E01031374,Adur 001F,Vehicle crime,,
,2010-12,Sussex Police,Sussex Police,-0.241978837042,50.838298124,On or near Phoenix Way,E01031374,Adur 001F,Vehicle crime,,
,2010-12,Sussex Police,Sussex Police,-0.237782119459,50.8403662394,On or near Southview Close,E01031374,Adur 001F,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.236045514438,50.8374531354,On or near Roman Crescent,E01031374,Adur 001F,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.236045514438,50.8374531354,On or near Roman Crescent,E01031374,Adur 001F,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.236045514438,50.8374531354,On or near Roman Crescent,E01031374,Adur 001F,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.237782119459,50.8403662394,On or near Southview Close,E01031374,Adur 001F,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.251681668302,50.8427966819,On or near Bay Tree Close,E01031338,Adur 002A,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.269136154484,50.8432457576,On or near Cypress Close,E01031340,Adur 002C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.278824870732,50.8520855844,On or near Mill Hill,E01031340,Adur 002C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.272798807951,50.8452245963,On or near Saxons,E01031340,Adur 002C,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.278824870732,50.8520855844,On or near Mill Hill,E01031340,Adur 002C,Burglary,,
,2010-12,Sussex Police,Sussex Police,-0.263615952943,50.8442519343,On or near Downside,E01031340,Adur 002C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.263615952943,50.8442519343,On or near Downside,E01031340,Adur 002C,Other crime,,
,2010-12,Sussex Police,Sussex Police,-0.270467563058,50.8368172957,On or near The Martlets,E01031365,Adur 002D,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.270467563058,50.8368172957,On or near The Martlets,E01031365,Adur 002D,Anti-social behaviour,,
,2010-12,Sussex Police,Sussex Police,-0.264525591798,50.8369628947,On or near Eastern Avenue,E01031365,Adur 002D,Anti-social behaviour,,
